stock_code,marcap_name,corp_code,dart_name,mapping_method,first_date,last_date
003080,SB성보,00132725,SB성보,stock_code,1998-10-20,2026-08-18
003090,대웅,00111810,대웅,stock_code,1998-10-20,2026-08-18
003110,대일화학,,,unmatched,1998-10-20,2002-04-18
003120,일성아이에스,00146214,일성아이에스,stock_code,1998-10-20,2026-08-18
003160,디아이,00118275,디아이,stock_code,1998-10-20,2026-08-18
003190,알앤엘바이오,00112004,알앤엘재생의학연구소,stock_code,1998-10-20,2013-05-02
003200,일신방직,00146269,일신방직,stock_code,1998-10-20,2026-08-18
003220,대원제약,00111999,대원제약,stock_code,1998-10-20,2026-08-18
003230,삼양식품,00126955,삼양식품,stock_code,1998-10-20,2026-08-18
003240,태광산업,00153393,태광산업,stock_code,1998-10-20,2026-08-18
003260,서광,,,unmatched,1998-10-20,2002-04-29
003280,흥아해운,00167208,흥아해운,stock_code,1998-10-20,2026-08-18
003300,한일홀딩스,00162993,한일홀딩스,stock_code,1998-10-20,2026-08-18
003310,대주산업,00112457,대주산업,stock_code,1998-10-20,2026-08-18
003320,신한증권,00137650,신한증권,normalized_name_unique,1998-10-20,2001-09-07
003330,하나증권,00115038,하나IB증권,stock_code,1998-10-20,2006-10-25
003335,하나증권(1우),,,unmatched,1998-10-20,2006-10-25
003350,한국화장품제조,00160621,한국화장품제조,stock_code,1998-10-20,2026-08-18
003380,하림지주,00148364,하림지주,stock_code,1998-10-20,2026-08-18
003410,쌍용C&E,00138224,쌍용씨앤이,stock_code,1998-10-20,2024-07-08
003415,쌍용양회우,,,unmatched,1998-10-20,2020-12-02
003417,쌍용양회2우B,,,unmatched,1998-10-20,2014-01-13
003450,현대증권,00164876,케이비증권,stock_code,1998-10-20,2016-10-31
003460,유화증권,00145190,유화증권,stock_code,1998-10-20,2026-08-18
003465,유화증권우,,,unmatched,1998-10-20,2026-08-18
003470,유안타증권,00117601,유안타증권,stock_code,1998-10-20,2026-08-18
003475,유안타증권우,,,unmatched,1998-10-20,2026-08-18
003480,한진중공업홀딩스,00163673,한진중공업홀딩스,stock_code,1998-10-20,2026-08-18
003490,대한항공,00113526,대한항공,stock_code,1998-10-20,2026-08-18
003495,대한항공우,,,unmatched,1998-10-20,2026-08-18
003497,대한항공(2우B),,,unmatched,1998-10-20,2001-04-13
003520,영진약품,00141149,영진약품,stock_code,1998-10-20,2026-08-18
003530,한화투자증권,00148610,한화투자증권,stock_code,1998-10-20,2026-08-18
003535,한화투자증권우,,,unmatched,1998-10-20,2026-08-18
003540,대신증권,00110893,대신증권,stock_code,1998-10-20,2026-08-18
003545,대신증권우,,,unmatched,1998-10-20,2026-08-18
003550,LG,00120021,LG,stock_code,1998-10-20,2026-08-18
003555,LG우,,,unmatched,1998-10-20,2026-08-18
003560,IHQ,00154426,아이에이치큐,stock_code,1998-10-20,2026-01-14
003570,SNT다이내믹스,00134477,SNT다이내믹스,stock_code,1998-10-20,2026-08-18
003580,HLB글로벌,00169048,HLB글로벌,stock_code,1998-10-20,2026-08-18
003590,광덕물산,00103583,광덕물산,stock_code,1998-10-20,2004-07-20
003600,SK,00144155,SK,stock_code,1998-10-20,2015-08-13
003605,SK우,,,unmatched,1998-10-20,2015-08-13
003610,방림,00122348,방림,stock_code,1998-10-20,2026-08-18
003620,KG모빌리티,00138242,KG모빌리티,stock_code,1998-10-20,2026-08-18
003640,유니온스틸,00140380,유니온스틸,stock_code,1998-10-20,2015-01-15
003650,미창석유,00122056,미창석유공업,stock_code,1998-10-20,2026-08-18
003660,고려시멘트,00102821,고려시멘트,stock_code,1998-10-20,2008-08-19
003680,한성기업,00161860,한성기업,stock_code,1998-10-20,2026-08-18
003690,코리안리,00113191,코리안리,stock_code,1998-10-20,2026-08-18
003720,삼영,00127255,삼영,stock_code,1998-10-20,2026-08-18
003780,진양산업,00150439,진양산업,stock_code,1998-10-20,2026-08-18
003800,에이스침대,00140052,에이스침대,stock_code,1998-10-20,2026-08-18
003810,대우,00111564,대우,normalized_name_unique,1998-10-20,2001-05-22
