,닻과 돛(해자기업),닻과 돛(NASDAQ 40%),S&P500 100%
2021-01-20,617152.8207222723,109081.69362887973,107088.05002951673
2021-01-21,624585.087910413,109423.88206573739,107121.9673109214
2021-01-22,620429.372788428,109308.62431279954,106799.46466760316
2021-01-25,621127.0369932269,109693.98285520647,107185.63433104864
2021-01-26,616249.8274774095,109656.13118641944,107026.05274147388
2021-01-27,603915.5861570957,108220.91378196495,104277.85020636582
2021-01-28,611647.5662021675,108625.61906061013,105295.6672997729
2021-01-29,607505.4674789914,107887.94323329955,103262.25263487575
2021-02-01,616067.1533360885,109005.18751277115,104919.79431751432
2021-02-02,616522.1826152813,109219.77818356708,106377.99306687819
2021-02-03,619715.6630288446,109251.3861339138,106485.30389717792
2021-02-04,617398.6136265828,108994.19672137884,107641.02321317827
2021-02-05,619360.3698109697,109545.48680828673,108060.55358066695
2021-02-08,630031.1438892235,110530.42426389147,108860.13126062512
2021-02-09,629561.8553063232,110671.17122430773,108738.91278381785
2021-02-10,633246.9969001949,110602.44969104488,108701.37774956375
2021-02-11,641241.7254352237,110741.02408489099,108882.08891628734
2021-02-12,638109.4214926419,110582.2751721912,109395.03604262583
2021-02-16,639990.8570959525,110051.01950034549,109332.76046590225
2021-02-17,633144.0188899912,109546.39676679764,109297.73002977466
2021-02-18,630141.860173636,109080.15066878611,108815.0892195202
2021-02-19,633741.8340531742,109328.59399798232,108613.24847564778
2021-02-22,628308.0804790609,108521.96247106549,107773.35966215702
2021-02-23,624101.2274988738,108161.30092664126,107908.75728662376
2021-02-24,629493.2656792144,108418.63628239394,109133.6958213083
2021-02-25,613229.0973425187,106652.37493296522,106462.23308679282
2021-02-26,612733.9436903596,106287.08901432875,105956.51467862444
2021-03-01,617880.782579739,107490.33033000707,108477.3010613484
2021-03-02,610593.5085430812,106536.54303737624,107600.71207964572
2021-03-03,600787.5435448824,105101.48976091652,106194.77730202809
2021-03-04,591716.5246919517,104180.58924069011,104769.93925670742
2021-03-05,597668.8473593665,104585.24373889389,106812.53066053976
2021-03-08,582998.0184871319,103374.60290949776,106240.09763181375
2021-03-09,597020.5818147947,105452.03505179437,107743.88821211521
2021-03-10,593244.818241701,105423.44677929967,108393.61761879525
2021-03-11,604833.9032710855,106679.1595549535,109520.42206211523
2021-03-12,598583.2349292268,106087.09578378248,109631.62893394513
