Year,Strategy,Annual_Return,Annual_MDD,Year_End_NAV
2018,S&P500 100%,-0.06237259849620769,-0.1977821043568203,69694.7393767111
2019,닻과 돛(해자기업),0.3234850368508275,-0.07183882963323496,428689.3544087013
2019,닻과 돛(NASDAQ 40%),0.20216886080830143,-0.036987820793143666,86226.29637293924
2019,S&P500 100%,0.2887807022515845,-0.06836108044673828,89821.2351571589
2020,닻과 돛(해자기업),0.3866598950861291,-0.15176984701091312,594446.3352089102
2020,닻과 돛(NASDAQ 40%),0.24930326651627754,-0.1439661163031405,107722.79371831364
2020,S&P500 100%,0.16258923055706065,-0.33924960002653304,104425.20066904616
2021,닻과 돛(해자기업),0.25758344594026905,-0.09082956494847638,747565.8706585856
2021,닻과 돛(NASDAQ 40%),0.07394157642240051,-0.06651935212145366,115687.98690247082
2021,S&P500 100%,0.26892738661371407,-0.052125375901048265,132507.9969815854
2022,닻과 돛(해자기업),-0.145578699360853,-0.22030702921399303,638736.203521545
2022,닻과 돛(NASDAQ 40%),-0.12340934778501933,-0.16405412821877352,101411.00789227504
2022,S&P500 100%,-0.1944282720342918,-0.25425096619230325,106744.6960977306
2023,닻과 돛(해자기업),0.4467263158401782,-0.07257598284976208,924076.4745144672
2023,닻과 돛(NASDAQ 40%),0.23596734424327837,-0.06044546940224316,125340.69410164932
2023,S&P500 100%,0.24230500797629784,-0.10276617093291396,132609.4705371187
2024,닻과 돛(해자기업),0.3818693424255519,-0.1226596155733587,1276952.950188229
2024,닻과 돛(NASDAQ 40%),0.20600309261399063,-0.05912008759413401,151161.26471697327
2024,S&P500 100%,0.23309002343423924,-0.08485144350207396,163519.41513221775
2025,닻과 돛(해자기업),0.4343913609728618,-0.0929350223808123,1831650.280118805
2025,닻과 돛(NASDAQ 40%),0.2946622617378112,-0.08447697038448576,195702.7848656246
2025,S&P500 100%,0.16387806380067693,-0.18902206184283965,190316.6602779047
2026,닻과 돛(해자기업),0.1326873021038364,-0.05670317564826299,2074687.0141855052
2026,닻과 돛(NASDAQ 40%),0.05647405151593543,-0.05359145317995584,206754.91401993792
2026,S&P500 100%,0.014700150874662032,-0.025856840246254675,193114.3438979517
