,닻과돛_해자기업형,닻과돛_NASDAQ프록시,S&P500_100
2018-09-18,-0.028801424977709544,-0.010267033639923984,-0.0033390002670936614
2018-09-19,-0.024646039260965757,-0.009902597064682661,-0.0020899122211739396
2018-09-20,-0.023072213655343288,-0.004499928300276235,0.0
2018-09-21,-0.030023299983454654,-0.008856292160235979,-0.0003685330120277719
2018-09-24,-0.023830201130733863,-0.007572755384830043,-0.003882925125821113
2018-09-25,-0.023842944138880218,-0.006963355395083193,-0.005182953648810051
2018-09-26,-0.0266573717955374,-0.00955839250483037,-0.008455183586752568
2018-09-27,-0.026022632741365848,-0.008657076890209225,-0.005715260598822658
2018-09-28,-0.021037464356938207,-0.007994692974177542,-0.005722091454832379
2018-10-01,-0.014221474548274493,-0.007977759482516,-0.0021018210728909192
2018-10-02,-0.014767953039283577,-0.006661481035565631,-0.002497677508956908
2018-10-03,-0.01336430044236736,-0.006013372921047089,-0.0017879349089399144
2018-10-04,-0.025281903705542286,-0.013469099601280066,-0.009942810740638075
2018-10-05,-0.03425933331228803,-0.018357848779325447,-0.015415825860487953
2018-10-08,-0.043468044213000434,-0.024871331964890442,-0.01580485144054411
2018-10-09,-0.04426216000411909,-0.0250473670350585,-0.017200345341422785
2018-10-10,-0.06704290293010118,-0.04165176289113515,-0.049499298254499724
2018-10-11,-0.06952897926514723,-0.04300732390767137,-0.0690539564318009
2018-10-12,-0.05549729701334338,-0.030692989340154186,-0.055828752772328016
2018-10-15,-0.06272478271581439,-0.032023358397213264,-0.06140406412607691
2018-10-16,-0.04755529805756842,-0.020089027025683603,-0.04122838117376093
2018-10-17,-0.04896291964983113,-0.02058515194685895,-0.04147062665273382
2018-10-18,-0.06145873331475482,-0.03051500039264432,-0.05526570697027211
2018-10-19,-0.06521021622488643,-0.031409738111046526,-0.055606916558261665
2018-10-22,-0.06390108960464402,-0.03149900673683037,-0.05966736063720901
2018-10-23,-0.06892285534822307,-0.03018997134835677,-0.06485031428601906
2018-10-24,-0.09669388110118693,-0.04936648216136996,-0.09371318002004614
2018-10-25,-0.0806963201312122,-0.037804789368752756,-0.07683355169858397
2018-10-26,-0.08944076580076255,-0.04538804523932771,-0.09282950050115157
2018-10-29,-0.10256710450156781,-0.052399578115233214,-0.09878017572293785
2018-10-30,-0.08798075333322486,-0.04747072429400956,-0.0846609629574342
2018-10-31,-0.08026616011896115,-0.04184898205108767,-0.07472831519768841
2018-11-01,-0.06974226895440283,-0.03126654057982381,-0.0649594413759279
2018-11-02,-0.07330616800890244,-0.03525747454391992,-0.07086579933677406
2018-11-05,-0.0779104270248645,-0.03670934863878084,-0.06566235311993551
2018-11-06,-0.07414466731493485,-0.03425513927853763,-0.05981405743517043
2018-11-07,-0.06877230135726098,-0.023938756078082157,-0.03987378910581785
2018-11-08,-0.07726427263363922,-0.027373091955688378,-0.04228266548665027
2018-11-09,-0.08287164481980691,-0.036933600439945424,-0.05109272037341128
2018-11-12,-0.09988428069979272,-0.04943438737094985,-0.06978760702785125
2018-11-13,-0.09433046233033815,-0.05017192804758808,-0.07116610709182813
2018-11-14,-0.09247116693340629,-0.05342950217822895,-0.078194974622537
2018-11-15,-0.08297934735974644,-0.04481459563159085,-0.06842959953190342
2018-11-16,-0.10681034843034565,-0.043094203064306,-0.06635843400793329
2018-11-19,-0.12455082781798776,-0.05521921295520216,-0.08189713197347126
2018-11-20,-0.12407957338454412,-0.061441583775555975,-0.09856183823999864
2018-11-21,-0.12170048773087927,-0.05727217812861096,-0.09581849982406421
2018-11-23,-0.12383998883209968,-0.059591698485294664,-0.1017452670498169
2018-11-26,-0.11372895336082334,-0.05177112953158303,-0.08779324365030317
2018-11-27,-0.11428483707701709,-0.05218767596400031,-0.08481790603941008
2018-11-28,-0.10302924013624215,-0.04248014047849846,-0.06379253124200335
2018-11-29,-0.102857696535121,-0.04062471373975096,-0.06583637334193515
2018-11-30,-0.10142579858708389,-0.039368499360739384,-0.058203558176235126
2018-12-03,-0.08891531547093567,-0.030445184560608185,-0.047898961976457044
2018-12-04,-0.10483204966314408,-0.04372530717059264,-0.07871361986053105
2018-12-06,-0.10551476462781806,-0.0415613525840246,-0.08011602792054118
2018-12-07,-0.11752037359690859,-0.053362672305330094,-0.10156783139981285
2018-12-10,-0.11366935842390868,-0.05005076572467215,-0.09998465556491565
2018-12-11,-0.11397965783075115,-0.04942365992703335,-0.10030537258487637
2018-12-12,-0.10888392145409764,-0.04566792426279942,-0.09542947424400805
2018-12-13,-0.11024495204914453,-0.04783729001985426,-0.09561032532201708
2018-12-14,-0.11836797921684983,-0.05817753916466051,-0.1128721483675259
2018-12-17,-0.1215443623223954,-0.06532684776196429,-0.1313008815469594
2018-12-18,-0.11508049543845977,-0.06263704190059483,-0.13122582543397632
2018-12-19,-0.12372507220017026,-0.06875984306397964,-0.14460122462253733
2018-12-20,-0.1267922094185555,-0.07363274596328517,-0.15809266506013864
2018-12-21,-0.13517594888116047,-0.08465838843421225,-0.17542604548750362
2018-12-24,-0.1396808621094543,-0.09226662062891344,-0.1977821043568203
2018-12-26,-0.1236435914059314,-0.07244873122996642,-0.15799711637912695
2018-12-27,-0.12116051581732257,-0.0688952695960966,-0.15078731446728688
2018-12-28,-0.11694568356071589,-0.06618994477262219,-0.15184168208329818
2018-12-31,-0.11737233316639484,-0.0633552036524424,-0.14463871102746784
2019-01-02,-0.1149525068105417,-0.06078950354215262,-0.14355368786253553
2019-01-03,-0.13128670145675092,-0.0705221376750722,-0.16475649830994665
2019-01-04,-0.11861449924401246,-0.05730193747605439,-0.1360778157788114
2019-01-07,-0.10888940275048586,-0.0497766621285185,-0.13002134559199907
2019-01-08,-0.1129479167784585,-0.046876742856917786,-0.12158665457327522
2019-01-09,-0.10571204666232203,-0.04299975542622225,-0.11798687675936259
2019-01-10,-0.10173889797168378,-0.04062248270476687,-0.11400157209652029
2019-01-11,-0.10107169031045604,-0.04207414226658168,-0.11413119175445752
2019-01-14,-0.10421993172710475,-0.04487888330467338,-0.11878866930926435
2019-01-15,-0.10030975668765174,-0.03785254846760189,-0.10934059581058642
2019-01-16,-0.10321782258588541,-0.03768304757608021,-0.10736156353962334
2019-01-17,-0.09913144023828391,-0.03521095655831874,-0.10058518777190162
2019-01-18,-0.092133093421784,-0.03251887622674221,-0.0887281545892693
2019-01-22,-0.10315708110527888,-0.04062044681164201,-0.10162930910389867
2019-01-23,-0.10101839154333636,-0.040802156925213606,-0.09965027683293548
2019-01-24,-0.08804705246828559,-0.03723947865754995,-0.09841164271091041
2019-01-25,-0.07734291485705225,-0.02983000096132793,-0.09075833497718189
2019-01-28,-0.09490322758934033,-0.032425852918546605,-0.09789299747291669
2019-01-29,-0.10118488081543797,-0.0344558308063162,-0.09920668770792485
2019-01-30,-0.09040430959370982,-0.02502176023009184,-0.08520001746033468
2019-01-31,-0.08195750516613187,-0.016686579097084153,-0.07733511979655427
2019-02-01,-0.08106249937718046,-0.018674648101851155,-0.07650600382261408
2019-02-04,-0.07601395970321423,-0.01534276048743033,-0.07024818998976412
2019-02-05,-0.07228296283977609,-0.011800242581491927,-0.06587052762198276
2019-02-06,-0.06892801733879883,-0.013687539773795887,-0.0679484406988402
2019-02-07,-0.07922183241296965,-0.019095432595420347,-0.07666977776059891
2019-02-08,-0.07882632463365236,-0.01745661773516316,-0.07604542086070121
2019-02-11,-0.08189424775229481,-0.01871017491348348,-0.07539024180563847
2019-02-12,-0.07266229716930594,-0.011886179070564662,-0.06347181422204229
2019-02-13,-0.07237391160352191,-0.010928047948871145,-0.06063975798110566
2019-02-14,-0.07054171214690186,-0.010835620601820972,-0.06313060463405296
2019-02-15,-0.06835075982385663,-0.007134884046017698,-0.05293863425531031
2019-02-19,-0.06470050681589479,-0.0023858555129582237,-0.05151923235839817
2019-02-20,-0.05985599110927764,-0.00012899936322863237,-0.04983367698647967
2019-02-21,-0.06640213173459142,-0.004510339480173098,-0.05318437846540991
2019-02-22,-0.06125141429845549,-0.0011519849036890628,-0.0471142465665787
