Date,Strategy_Gross,Strategy_Net,KODEX200_TR,SPY_TR_USD
2022-05-31,-0.24217536780933613,-0.24293319244152578,-0.216477185275452,-0.18220277849387445
2022-06-30,-0.28655981526478647,-0.28727325544952065,-0.28983470798626176,-0.23009971436177545
2022-07-31,-0.26147320258545903,-0.2622117293828724,-0.2965560959276269,-0.20302780184443092
2022-08-31,-0.2277235874191358,-0.2284958638317155,-0.26665681987703815,-0.16660731570882592
2022-09-30,-0.29911734047223626,-0.29981822313176276,-0.3446499984882454,-0.24365101473843265
2022-10-31,-0.3003339344827598,-0.301033600548276,-0.3446499984882454,-0.24496388734674468
2022-11-30,-0.271979121334349,-0.27270714221301373,-0.29566249732262895,-0.21436513609995023
2022-12-31,-0.2574983369704793,-0.25824083863350766,-0.3096582622572227,-0.1987383740299853
2023-01-31,-0.2521363767622322,-0.25288424038546853,-0.31374034201661016,-0.19295207998006092
2023-02-28,-0.2188612691217593,-0.219642407852636,-0.25619660363057883,-0.15704365286146416
2023-03-31,-0.2403482432988322,-0.24110789505553165,-0.2765362581853681,-0.18023105933278483
2023-04-30,-0.1998517124526964,-0.200651860740242,-0.24544225572174638,-0.13652972131890717
2023-05-31,-0.19832815447788954,-0.1991298263234097,-0.2316582342726401,-0.1348855922873674
2023-06-30,-0.1653018770236725,-0.1661365751466466,-0.19753074218929267,-0.09924568723351068
2023-07-31,-0.12897311023779046,-0.12984413712755027,-0.21234305027841238,-0.06004194104178817
2023-08-31,-0.13346155380736047,-0.13432809225355047,-0.22004546418350146,-0.06488559025053764
2023-09-30,-0.1511538519152027,-0.15200269806328426,-0.22277087877362567,-0.08397801826099405
2023-10-31,-0.1814499809238146,-0.18226853094288753,-0.2710222679977804,-0.11667171687305067
2023-11-30,-0.15757172034492217,-0.15841414862457415,-0.26091728960902116,-0.09090378280713318
2023-12-31,-0.0935914081279402,-0.09449781671980961,-0.20706414036988385,-0.02186020815993417
2024-01-31,-0.06486105329008351,-0.06579619223679078,-0.21728795538670442,-0.019740265050602668
2024-02-29,-0.020993769963842057,-0.021972776193875165,-0.17957936628227655,-0.014205899228039387
2024-03-31,-0.011055750894472971,-0.01105575089447286,-0.1456035878191918,-0.011055750894472971
2024-04-30,-0.0535390164302505,-0.05353901643024983,-0.14834548982951223,-0.05353901643024994
2024-05-31,-0.04361882806786088,-0.043618828067860105,-0.13098545946526152,-0.04361882806786033
2024-06-30,-0.007290973484782248,-0.007290973484782137,-0.12181512699765651,-0.007290973484782248
2024-07-31,-0.04682544080668616,-0.04682544080668627,-0.09671706598676522,-0.04682544080668616
2024-08-31,-0.0840558761264828,-0.08405587612648246,-0.19417577233778804,-0.08405587612648269
2024-09-30,-0.043373362574623875,-0.0433733625746231,-0.18484809997893337,-0.043373362574622765
2024-10-31,-0.02728424550216324,-0.027284245502162907,-0.17134627271288905,-0.02728424550216335
2024-11-30,-0.02528267343965529,-0.025282673439654846,-0.22556057962528642,-0.025282673439655512
2024-12-31,-0.03571834103649363,-0.03571834103649363,-0.23346177213054553,-0.03571834103649352
2025-01-31,-0.04173387716619392,-0.04173387716619403,-0.22227860452432424,-0.04173387716619359
2025-02-28,-0.0454865926678204,-0.04548659266782051,-0.2065593904762204,-0.0454865926678204
2025-03-31,-0.10035401835085778,-0.10035401835085789,-0.17814378654691088,-0.10035401835085767
2025-04-30,-0.18755234489427297,-0.1875523448942733,-0.24363382545428725,-0.18755234489427297
2025-05-31,-0.08611083905073658,-0.08611083905073702,-0.16177544759921147,-0.08611083905073702
2025-06-30,-0.030079962792268877,-0.030079962792269876,-0.10768046655583086,-0.03007996279226921
2025-07-31,-0.007995625508040782,-0.007995625508040782,-0.019264829772668413,-0.007995625508040782
2025-08-31,-0.028793336357311183,-0.028793336357311405,-0.042925289331290806,-0.02414078849422041
2025-09-30,-0.029364682444906753,-0.029364682444906975,-0.03531680941881943,-0.013329794393760475
2025-10-31,-0.01918164632444863,-0.01918164632444863,-0.01918164632444863,-0.02984653787017777
2025-11-30,-0.09544466851387667,-0.09544466851387645,-0.09544466851387667,-0.050713459624278534
2025-12-31,-0.07266804391982695,-0.07266804391982673,-0.07266804391982706,-0.02578460380073133
2026-01-31,-0.00985971499754823,-0.00985971499754823,-0.00985971499754823,-0.025289130990863273
2026-02-28,-0.05956924843374545,-0.059569248433745337,-0.059569248433745225,-0.025694082722464207
2026-03-31,-0.20620884534181438,-0.20620884534181427,-0.2062088453418145,-0.08884968175523744
2026-04-30,-0.1771638576641109,-0.1771638576641108,-0.17716385766411102,-0.05529987987301277
2026-05-31,-0.09222699562180259,-0.09222699562180248,-0.09222699562180259,-0.019300423939144107
2026-06-30,-0.15550062235306428,-0.15550062235306406,-0.15550062235306406,-0.04494652583696357
2026-07-31,-0.40807965612592445,-0.40807965612592423,-0.40807965612592456,-0.03716674466400327
2026-08-31,-0.3374625830934207,-0.33746258309342037,-0.3374625830934208,-0.019643170156015133
