Date,Strategy_Gross,Strategy_Net,Position,KODEX200_TR_KRW,SPY_TR_KRW
2022-12-23,4.282635956058368,4.2251808652006595,SPY_TR_KRW,1.7440842777485799,4.9395027089802985
2022-12-26,4.282635956058368,4.2251808652006595,SPY_TR_KRW,1.7466801493255284,4.9395027089802985
2022-12-27,4.215922038831248,4.159361970154992,SPY_TR_KRW,1.7590820419307787,4.862556272661359
2022-12-28,4.1542215874253605,4.098489281154749,SPY_TR_KRW,1.7383157952300619,4.791392262927225
2022-12-29,4.235780001596301,4.178953521983739,SPY_TR_KRW,1.7071660622215512,4.885460031439653
2022-12-30,4.178011121803591,4.121959659323303,SPY_TR_KRW,1.7071660622215512,4.818830614146505
2023-01-02,4.178011121803591,4.121959659323303,SPY_TR_KRW,1.6970713690464092,4.818830614146505
2023-01-03,4.192906440924367,4.136655145462191,SPY_TR_KRW,1.6970713690464092,4.8360105635755755
2023-01-04,4.2551504700404275,4.198064119629638,SPY_TR_KRW,1.732835863872572,4.9078015244677085
2023-01-05,4.18027446105298,4.124192634011344,SPY_TR_KRW,1.7466801493255284,4.821441102282411
2023-01-06,4.28656626535149,4.2290584461554745,SPY_TR_KRW,1.7654276267713533,4.944035845487743
2023-01-09,4.212519774675638,4.156005350176983,SPY_TR_KRW,1.8130171538523334,4.858632172367582
2023-01-10,4.196013471205205,4.139720492371172,SPY_TR_KRW,1.8153241113108183,4.839594147295171
2023-01-11,4.252102249852021,4.19505679382723,SPY_TR_KRW,1.8184968432381998,4.904285771078278
2023-01-12,4.272537777554954,4.215218162084217,SPY_TR_KRW,1.8236883444204732,4.927855681171916
2023-01-13,4.280580959909832,4.223153438519067,SPY_TR_KRW,1.8369558905088081,4.93713251941789
2023-01-16,4.280580959909832,4.223153438519067,SPY_TR_KRW,1.8516653455016023,4.93713251941789
2023-01-17,4.278187302222612,4.220791893722439,SPY_TR_KRW,1.8369558905088081,4.9343717247223555
2023-01-18,4.1980527257418885,4.141732388627606,SPY_TR_KRW,1.8251306162823673,4.841946180811816
2023-01-19,4.170455788004886,4.114505686554186,SPY_TR_KRW,1.8363790301583753,4.810116450218291
2023-01-20,4.228586641113943,4.171856666360613,SPY_TR_KRW,1.8484927345600326,4.877163359961187
2023-01-23,4.27185736781026,4.2145468805970046,SPY_TR_KRW,1.8484927345600326,4.927070910808147
2023-01-24,4.264669684256086,4.207455625741393,SPY_TR_KRW,1.8484927345600326,4.918780786979874
2023-01-25,4.277998300593631,4.220605427706076,SPY_TR_KRW,1.8776233353562162,4.934153734197843
2023-01-26,4.324769693089726,4.26674934342549,SPY_TR_KRW,1.9035813252108298,4.98809887973617
2023-01-27,4.332103746436933,4.27398500440273,SPY_TR_KRW,1.918578968407217,4.996557823421329
2023-01-30,4.267679227887496,4.210424793864691,SPY_TR_KRW,1.8882264109123394,4.922251931637666
2023-01-31,4.339413856059118,4.281197042879754,SPY_TR_KRW,1.8590301148203747,5.004989150915005
2023-02-01,4.387847139654805,4.3289805540600215,SPY_TR_KRW,1.8792652338075009,5.060851086876962
2023-02-02,4.41486804890168,4.35563895554024,SPY_TR_KRW,1.899500352794627,5.092016438261835
2023-02-03,4.378487099404944,4.31974608646413,SPY_TR_KRW,1.9073052684965528,5.050055412286655
2023-02-06,4.4293560966496495,4.369932634187438,SPY_TR_KRW,1.8639443165221128,5.108726649410576
2023-02-07,4.539401723256646,4.4785019080201,SPY_TR_KRW,1.8755070515370522,5.235650972727795
2023-02-08,4.468832787178121,4.408879712378008,SPY_TR_KRW,1.9047037105864522,5.154258238321634
2023-02-09,4.448160227006249,4.388484491638001,SPY_TR_KRW,1.898632884524366,5.130414939937594
2023-02-10,4.472973168998619,4.412964547564115,SPY_TR_KRW,1.8937188038084398,5.159033668086948
2023-02-13,4.533783210898705,4.472958772635901,SPY_TR_KRW,1.8824448619261522,5.229170698126534
2023-02-14,4.55341002990815,4.492322281693016,SPY_TR_KRW,1.8937188038084398,5.251807860533177
2023-02-15,4.5657192253651235,4.504466339148389,SPY_TR_KRW,1.8578737324316503,5.266005029036157
2023-02-16,4.54345093237874,4.48249679366469,SPY_TR_KRW,1.8948750652113526,5.240321245810313
2023-02-17,4.5506002508465055,4.489550198133145,SPY_TR_KRW,1.8781087304329647,5.248567120150609
2023-02-20,4.5506002508465055,4.489550198133145,SPY_TR_KRW,1.8844684706135142,5.248567120150609
2023-02-21,4.484046921574356,4.423889736622684,SPY_TR_KRW,1.8818667917176017,5.171805902619058
2023-02-22,4.511448615200584,4.450923813945985,SPY_TR_KRW,1.849201590431087,5.203410442740179
2023-02-23,4.52502815794446,4.464321175932458,SPY_TR_KRW,1.872616458522676,5.219072803225244
2023-02-24,4.460367428542142,4.400527923504801,SPY_TR_KRW,1.8558502447301,5.144494470785951
2023-02-27,4.529414271834358,4.468648446489735,SPY_TR_KRW,1.8393729450559875,5.224131655218115
2023-02-28,4.528646322733008,4.46789080005848,SPY_TR_KRW,1.844576544819436,5.223245918791906
2023-03-01,4.522396251317737,4.461724578502202,SPY_TR_KRW,1.844576544819436,5.216037217187611
2023-03-02,4.5028404834290106,4.442431167356465,SPY_TR_KRW,1.849201590431087,5.193482003657051
2023-03-03,4.593731253510313,4.532102562850076,SPY_TR_KRW,1.8532486868199993,5.298313516221827
2023-03-06,4.539831555082576,4.478925973297841,SPY_TR_KRW,1.8792652338075009,5.236146731762738
2023-03-07,4.484810908109443,4.424643473648769,SPY_TR_KRW,1.8694368304040248,5.172687068704248
2023-03-08,4.557490520328575,4.496348028971542,SPY_TR_KRW,1.842841971236349,5.256514212810716
2023-03-09,4.468482986578314,4.408534604641533,SPY_TR_KRW,1.83706030126435,5.153854785628463
2023-03-10,4.434448736744402,4.374956952318253,SPY_TR_KRW,1.8171145803389346,5.114600393945951
2023-03-13,4.4080512626625135,4.348913622106483,SPY_TR_KRW,1.8318570644583367,5.084154099636655
2023-03-14,4.402269708723991,4.343209632478877,SPY_TR_KRW,1.7890744246640709,5.077485776287564
2023-03-15,4.40240829426778,4.343346358783382,SPY_TR_KRW,1.8116220664570224,5.077645617954237
2023-03-16,4.504234715099169,4.44380669425972,SPY_TR_KRW,1.8049730492005742,5.195090081294832
2023-03-17,4.417224912470212,4.357964199841606,SPY_TR_KRW,1.825786601353686,5.094734795390695
2023-03-20,4.480358979501099,4.4202512713317335,SPY_TR_KRW,1.8124894137414718,5.167552307392119
2023-03-21,4.529781316464465,4.4690105669136315,SPY_TR_KRW,1.8171145803389346,5.224554996815052
2023-03-22,4.447446612798047,4.387780451152521,SPY_TR_KRW,1.8399511362503496,5.129591872240328
2023-03-23,4.441713137188546,4.382123894843528,SPY_TR_KRW,1.8454436501322617,5.122979001430018
2023-03-24,4.42967240384806,4.370244697864099,SPY_TR_KRW,1.8390836679800886,5.109091471515339
2023-03-27,4.4776673525281305,4.417595754752895,SPY_TR_KRW,1.8307008030554242,5.164447841156614
2023-03-28,4.464793339156675,4.404894456880855,SPY_TR_KRW,1.8520923044312747,5.149599223488378
2023-03-29,4.5651374650850265,4.503892383661904,SPY_TR_KRW,1.8549830184314624,5.265334038900878
2023-03-30,4.55452496380249,4.493422257830298,SPY_TR_KRW,1.8679912919252133,5.253093801959891
2023-03-31,4.618718985737431,4.556755064055887,SPY_TR_KRW,1.8899609844954262,5.327133843770921
2023-04-03,4.677621818149699,4.6148676664269495,SPY_TR_KRW,1.8804214952104137,5.395071138290532
2023-04-04,4.667175504302028,4.604561498488808,SPY_TR_KRW,1.8890935162251652,5.383022578459888
2023-04-05,4.668432977106075,4.605802101258851,SPY_TR_KRW,1.8997893878989023,5.3844729212828115
2023-04-06,4.692803810807174,4.629845980140781,SPY_TR_KRW,1.8659676832378513,5.41258173097895
2023-04-07,4.692803810807174,4.629845980140781,SPY_TR_KRW,1.8977661421689755,5.41258173097895
2023-04-10,4.7080997740819885,4.644936735462194,SPY_TR_KRW,1.9159772895113045,5.430223774992877
2023-04-11,4.713678503119457,4.650440621251951,SPY_TR_KRW,1.9411270941434156,5.4366581643446645
2023-04-12,4.697093143326163,4.6340777677290035,SPY_TR_KRW,1.9471975572480664,5.4175289573635075
2023-04-13,4.682487326544675,4.61966790001693,SPY_TR_KRW,1.9509548926178328,5.4006829138755075
2023-04-14,4.671048623126983,4.608382656232721,SPY_TR_KRW,1.9578934289218035,5.387489752677908
2023-04-17,4.740544164189812,4.676945857337884,SPY_TR_KRW,1.9584711361729188,5.467644455730894
2023-04-18,4.743022717194874,4.6793911585117,SPY_TR_KRW,1.9555804221727309,5.47050316690982
2023-04-19,4.781358816090871,4.717212947046556,SPY_TR_KRW,1.957026202623166,5.51471922129582
2023-04-20,4.743939865348801,4.68029600236728,SPY_TR_KRW,1.951244532651167,5.47156098640168
2023-04-21,4.747626805190521,4.683933478872456,SPY_TR_KRW,1.9414161292476908,5.475813425675736
2023-04-24,4.785613554238972,4.721410604375884,SPY_TR_KRW,1.9281189416354765,5.51962654725679
2023-04-25,4.738622537312778,4.675050010669103,SPY_TR_KRW,1.9038364842878146,5.465428091495842
2023-04-26,4.707397947589546,4.644244324550555,SPY_TR_KRW,1.9018127546146408,5.4294143030003434
2023-04-27,4.806712170240664,4.742226165055623,SPY_TR_KRW,1.90825948359384,5.543961249520863
2023-04-28,4.847737877703339,4.78270147884161,SPY_TR_KRW,1.9120690848342834,5.591279442154781
2023-05-01,4.855135737888347,4.790000090635337,SPY_TR_KRW,1.9120690848342834,5.599811979311672
2023-05-02,4.798816506768028,4.734436428415633,SPY_TR_KRW,1.9328747729096314,5.534854556467229
2023-05-03,4.740775047493223,4.6771736431515,SPY_TR_KRW,1.9155855374528519,5.467910751702433
2023-05-04,4.654032770350776,4.5915950851450145,SPY_TR_KRW,1.90825948359384,5.367864024097178
2023-05-05,4.740191790974016,4.676598211499185,SPY_TR_KRW,1.90825948359384,5.467238035836267
2023-05-08,4.749572246812601,4.685852820791852,SPY_TR_KRW,1.9322885966516934,5.478057257339467
2023-05-09,4.74175989594312,4.678145279047785,SPY_TR_KRW,1.9264279229446204,5.469046655299217
2023-05-10,4.735174296623319,4.6716480309703385,SPY_TR_KRW,1.914413305922788,5.461450962829863
2023-05-11,4.769342464228817,4.705357804447932,SPY_TR_KRW,1.9091388084736527,5.500859812468249
2023-05-12,4.7630933490172636,4.69919252626711,SPY_TR_KRW,1.9000545887982625,5.493652213729316
2023-05-15,4.799365035024655,4.734977597713633,SPY_TR_KRW,1.9053290862473975,5.535487217481934
2023-05-16,4.7923893332122445,4.728095480690016,SPY_TR_KRW,1.910603946653968,5.527441588959459
2023-05-17,4.8206454793466245,4.755972547336881,SPY_TR_KRW,1.9167577689829158,5.560031636726341
2023-05-18,4.869235941279545,4.803911128177451,SPY_TR_KRW,1.9167577689829158,5.616074858893926
2023-05-19,4.8621515599072245,4.796921789619788,SPY_TR_KRW,1.962471411052683,5.6079038816408815
2023-05-22,4.7879240139554815,4.723690067371148,SPY_TR_KRW,1.9750720833466417,5.522291383153607
2023-05-23,4.755845692975698,4.692042103504453,SPY_TR_KRW,1.98093312001115,5.485292918888852
2023-05-24,4.716669284055097,4.65339127839651,SPY_TR_KRW,1.98093312001115,5.440107668501722
2023-05-25,4.802149466138388,4.737724673389206,SPY_TR_KRW,1.9718487793499482,5.538698722071718
2023-05-26,4.864339741850162,4.799080615298586,SPY_TR_KRW,1.978588656951022,5.610427684911993
2023-05-30,4.825607657109901,4.760868153395918,SPY_TR_KRW,2.0052550187334433,5.565754908738168
2023-05-31,4.805938550233315,4.74146292379825,SPY_TR_KRW,1.9908964225947294,5.5430689723903255
2023-06-01,4.818968135359512,4.754317706301729,SPY_TR_KRW,1.9844494516439068,5.558097023265557
2023-06-02,4.888656633871596,4.82307127617294,SPY_TR_KRW,2.0099440658395107,5.6384742794033915
2023-06-05,4.830750154176174,4.765941659625889,SPY_TR_KRW,2.0158040136317132,5.571686157261368
2023-06-06,4.83907105569188,4.774150929390144,SPY_TR_KRW,2.0158040136317132,5.581283310976907
2023-06-07,4.856264201662687,4.791113415138131,SPY_TR_KRW,2.0114089620482027,5.601113525818905
2023-06-08,4.840790196952013,4.7758470069534535,SPY_TR_KRW,2.0087714713520115,5.583266132537899
2023-06-09,4.849475481652519,4.78441577140178,SPY_TR_KRW,2.035437712148621,5.593283558195039
2023-06-12,4.849114651401201,4.784059781985659,SPY_TR_KRW,2.022250984582536,5.59286738413258
2023-06-13,4.816641382857181,4.752022169101796,SPY_TR_KRW,2.031921622487488,5.55541339561046
2023-06-14,4.846610209857192,4.781588939588984,SPY_TR_KRW,2.021957956946473,5.589978813654481
2023-06-15,4.891521641943458,4.825897847800341,SPY_TR_KRW,2.0149252936809594,5.641778719770824
2023-06-16,4.8748605797892735,4.809460307526063,SPY_TR_KRW,2.024595568628476,5.622562199270485
2023-06-19,4.8748605797892735,4.809460307526063,SPY_TR_KRW,2.013460155500644,5.622562199270485
2023-06-20,4.916352992912644,4.850396065731676,SPY_TR_KRW,2.0099440658395107,5.670418680448878
2023-06-21,4.894353655071028,4.828691867137819,SPY_TR_KRW,1.9911889662875455,5.6450451044598395
2023-06-22,4.949498468866097,4.883096867808581,SPY_TR_KRW,1.9961709200438646,5.708647978932891
2023-06-23,4.912080629246547,4.8461810193452015,SPY_TR_KRW,1.9865005241105365,5.665491025584218
2023-06-26,4.908780235403518,4.842924903005575,SPY_TR_KRW,1.9964639476799277,5.661684420377608
2023-06-27,4.9395096623082795,4.873242069322948,SPY_TR_KRW,1.9955847437859267,5.697127098438244
2023-06-28,4.989302373080353,4.922366769843668,SPY_TR_KRW,1.9847427212515933,5.754556969263057
2023-06-29,5.0627673755126175,4.9948461787225895,SPY_TR_KRW,1.9844494516439068,5.839289966009155
