Date,Strategy_Gross,Strategy_Net,Position,KODEX200_TR,SPY_TR_USD
2010-09-03,1.0306411182725776,1.0280665762438124,KODEX200_TR,1.094282428311067,0.9971163517316514
2010-09-06,1.0388508390021687,1.036255789086916,KODEX200_TR,1.102999093090355,0.9971163517316514
2010-09-07,1.0350788821463535,1.0324932545812124,KODEX200_TR,1.0989942207497443,0.9858760549679905
2010-09-08,1.0288663545716132,1.0262962459034601,KODEX200_TR,1.0923980742930315,0.9928001273400998
2010-09-09,1.0341914433211135,1.0316080325786015,KODEX200_TR,1.0980519832478206,0.997385591854024
2010-09-10,1.043288488926429,1.0406823537594463,KODEX200_TR,1.1077107645432205,1.0024215210599987
2010-09-13,1.0537173764666963,1.0510851899334235,KODEX200_TR,1.1187836280063765,1.013570977755299
2010-09-14,1.05238564848126,1.0497567886051606,KODEX200_TR,1.1173696668244322,1.0129415663287848
2010-09-15,1.055269710713774,1.052633646448776,KODEX200_TR,1.1204318177198724,1.016808510502597
2010-09-16,1.049501358349715,1.0468797034318067,KODEX200_TR,1.1143072739573685,1.0165388148131815
2010-09-17,1.0574893333225115,1.054847724439127,KODEX200_TR,1.1227885003469873,1.016918393273352
2010-09-20,1.0592638691244454,1.0566178274497402,KODEX200_TR,1.1246726123933994,1.032467078675426
2010-09-21,1.0592638691244454,1.0566178274497402,KODEX200_TR,1.1246726123933994,1.0303882351451203
2010-09-22,1.0592638691244454,1.0566178274497402,KODEX200_TR,1.1246726123933994,1.0253255185970211
2010-09-23,1.0592638691244454,1.0566178274497402,KODEX200_TR,1.1246726123933994,1.0170086866612613
2010-09-24,1.0650331330846268,1.0623726797856645,KODEX200_TR,1.1307981240423972,1.0379818088435222
2010-09-27,1.075461336927802,1.0727748339704255,KODEX200_TR,1.1418702615906828,1.0330102057040091
2010-09-28,1.0732423980161565,1.0705614379692907,KODEX200_TR,1.1395143048784382,1.036625494643306
2010-09-29,1.0801208465583725,1.0774227041436089,KODEX200_TR,1.146817492419029,1.0348177135035448
2010-09-30,1.0810083993331276,1.078308039811089,KODEX200_TR,1.1477598509067644,1.0317440937782936
2010-10-01,1.0847805840879734,1.082070801646531,KODEX200_TR,1.1517649652189987,1.0360833698622174
2010-10-04,1.0861118562753485,1.0833987483153165,KODEX200_TR,1.153178442457696,1.0283088449343634
2010-10-05,1.0878865060267975,1.085168964990799,KODEX200_TR,1.15506267548992,1.0490107224992626
2010-10-06,1.1027529295418097,1.0999982521724374,KODEX200_TR,1.1708470894201295,1.048919882430902
2010-10-07,1.1009777100427842,1.098227467172608,KODEX200_TR,1.168962251458847,1.0476544082990467
2010-10-08,1.0969835516321131,1.0942432861716438,KODEX200_TR,1.16472145678532,1.0535302209053703
2010-10-11,1.094321349105909,1.0915877338286812,KODEX200_TR,1.1618948652653607,1.0545252704405415
2010-10-12,1.077680047940417,1.0749880026418213,KODEX200_TR,1.1442259763313036,1.057779476941611
2010-10-13,1.0825616451763278,1.079857405645396,KODEX200_TR,1.1494090085067543,1.0660059243760531
2010-10-14,1.0976498144481348,1.094907884662818,KODEX200_TR,1.1654288608266332,1.0618475995215817
2010-10-15,1.0987591129796845,1.0960144121660813,KODEX200_TR,1.1666066577040377,1.0640171008934307
2010-10-18,1.0836709437078775,1.0809639331486594,KODEX200_TR,1.150586805384159,1.0692605864441653
2010-10-19,1.0690271775457822,1.066356747121759,KODEX200_TR,1.1350387977301126,1.0552484375644913
2010-10-20,1.0770143548719713,1.0743239724749936,KODEX200_TR,1.1435191772190492,1.065554001869465
2010-10-21,1.0792335216826474,1.0765375958058672,KODEX200_TR,1.1458753759029172,1.0679046366975835
2010-10-22,1.0921027520428088,1.0893746788221543,KODEX200_TR,1.1595392715105515,1.0698930957265715
2010-10-25,1.1047495529490838,1.101989888013442,KODEX200_TR,1.172967002813646,1.0730570088397318
2010-10-26,1.104971868453455,1.102211648173572,KODEX200_TR,1.173203046132374,1.0732381422960013
