,최신 K-올웨더 성장형,한국주식만 계절형,강환국 원본 계절형,강환국 정적,한국주식만 계절형(최소매매),5~10월 미국30년채100%
2007-07-31,-0.14456913685844763,-0.13806358981620281,-0.13327029944345303,-0.13957046160835362,-0.1502970206063563,-0.14896635022327243
2007-08-31,-0.14456913685844763,-0.1380635898162026,-0.13327029944345303,-0.13957046160835374,-0.15029702060635608,-0.14896635022327243
2007-09-30,-0.14456913685844752,-0.1380635898162027,-0.13327029944345314,-0.13957046160835374,-0.1502970206063563,-0.14896635022327254
2007-10-31,-0.14456913685844763,-0.13806358981620281,-0.13327029944345303,-0.13957046160835362,-0.1502970206063563,-0.14896635022327254
2007-11-30,-0.14456913685844752,-0.13806358981620293,-0.13327029944345303,-0.1395704616083535,-0.1502970206063562,-0.14896635022327254
2007-12-31,-0.14456913685844752,-0.13806358981620281,-0.13327029944345314,-0.13957046160835362,-0.1502970206063562,-0.14896635022327254
2008-01-31,-0.14456913685844763,-0.1380635898162027,-0.13327029944345303,-0.13957046160835362,-0.1502970206063562,-0.14896635022327265
2008-02-29,-0.14456913685844763,-0.1380635898162027,-0.13327029944345303,-0.13957046160835362,-0.1502970206063563,-0.14896635022327243
2008-03-31,-0.12063031299840932,-0.10667304627116425,-0.10602293425484388,-0.08842547803351619,-0.10598546467040704,-0.1372567275225809
2008-04-30,-0.12063031299840943,-0.10667304627116392,-0.10602293425484433,-0.08842547803351619,-0.10598546467040715,-0.1372567275225809
2008-05-31,-0.12063031299840954,-0.10667304627116392,-0.10602293425484421,-0.08842547803351619,-0.10598546467040715,-0.137256727522581
2008-06-30,-0.12063031299840943,-0.10667304627116359,-0.10602293425484455,-0.08842547803351641,-0.10598546467040715,-0.1372567275225809
2008-07-31,-0.12063031299840943,-0.10667304627116392,-0.10602293425484421,-0.08842547803351608,-0.10598546467040704,-0.13725672752258078
2008-08-31,-0.12063031299840932,-0.10667304627116392,-0.1060229342548441,-0.08842547803351608,-0.10598546467040715,-0.1372567275225809
2008-09-30,-0.12063031299840943,-0.10667304627116403,-0.10602293425484433,-0.0884254780335163,-0.10598546467040726,-0.137256727522581
2008-10-31,-0.12063031299840943,-0.10667304627116359,-0.10602293425484388,-0.08842547803351608,-0.10598546467040715,-0.1372567275225809
2008-11-30,-0.12063031299840943,-0.10667304627116381,-0.1060229342548441,-0.08842547803351608,-0.10598546467040715,-0.1372567275225809
2008-12-31,-0.12063031299840954,-0.10667304627116381,-0.1060229342548441,-0.0884254780335163,-0.10598546467040704,-0.13725672752258078
2009-01-31,-0.1206303129984092,-0.10667304627116381,-0.10602293425484433,-0.08842547803351641,-0.10598546467040704,-0.1372567275225809
2009-02-28,-0.12063031299840954,-0.10667304627116381,-0.10602293425484421,-0.0884254780335163,-0.10598546467040704,-0.137256727522581
