,최신 K-올웨더 성장형,한국주식만 계절형,강환국 원본 계절형,강환국 정적,한국주식만 계절형(최소매매),5~10월 미국30년채100%
2001-10-31,60071635.32952282,39396150.213576674,42661214.59354517,43695593.26833792,41319708.16432555,79639127.85809581
2001-11-30,61390674.681179054,41370892.87895993,45050416.632863656,45044268.02319081,43733220.72247643,81710044.21677521
2001-12-31,62554972.33500706,42751857.51077229,46677923.575844094,46170605.31288118,45284199.168843664,83326048.3630031
2002-01-31,62691108.49921878,43715164.30359761,47675988.97029626,46836453.24764095,46139808.85104703,83632290.82696259
2002-02-28,64696329.49817847,45655121.91064428,49684133.58510961,48408675.26386954,47797594.6344569,86420415.57323661
2002-03-31,65664547.69816445,47161740.30165159,51482529.95420116,49344866.62795378,49444790.3668448,87923832.03463526
2002-04-30,63665175.421908095,45720493.25670225,49661512.775127865,48127857.733267106,47369596.31488782,85064016.11819421
2002-05-31,60994922.31866114,44982585.751658626,49041745.73314298,47238687.29219182,45997815.73098353,80920493.43881448
2002-06-30,60225295.32731334,44279894.1607084,48648402.677965365,46119829.38695931,45098914.06697232,81880210.04867847
2002-07-31,57743412.756435886,43637253.495720744,48311573.078559354,45264241.6184268,44204361.284283884,82117533.13317738
2002-08-31,60164841.733075276,45134469.68187959,50020267.46651966,46765814.10777137,45698366.1694324,88029089.57328008
2002-09-30,59725896.07707912,45300755.710232906,50586314.55173008,46317562.396275476,45350322.162479736,93748363.68595485
2002-10-31,59774737.74081273,45754091.77841116,50872571.10329752,46809418.31875652,46199697.86031605,90012986.04067047
2002-11-30,60810671.37162981,47298972.422536634,52737831.12841971,47893273.10983195,47974927.5393275,91700141.2212297
2002-12-31,60679241.476545036,45754815.08904206,50753901.26974031,47151225.52701369,45644340.62872058,90918355.5582227
2003-01-31,60680374.41361247,45391026.34775284,50162678.01373121,46915726.227389865,44825145.831766926,90921771.61539178
2003-02-28,61564408.967060566,45403866.33730215,50087996.860452525,47178643.588458166,45167237.120783865,92238681.13394304
2003-03-31,62549992.4602865,45402393.45783031,50155096.31905248,47529846.9825475,45486656.07421689,93627859.42307962
2003-04-30,63313836.88269535,46845731.97413735,51999128.197766304,48640768.22700956,47094127.834517576,94675089.76514721
2003-05-31,66751782.10343833,48881791.77225363,54186890.46212931,50810178.6046615,48982569.79712552,100202660.77014348
2003-06-30,66781022.78589569,49249299.17761767,54665278.116506435,51360725.075108536,49674217.69909519,97253946.44360746
2003-07-31,65742046.90377584,48464809.83463887,53575171.8672042,50934826.31559546,48708146.22783594,86449171.46377829
2003-08-31,67105451.56111129,48633087.55864657,53584540.41710841,51420698.90871789,48573011.100014426,87132942.74893993
