,60/40 비용전,60/40 비용후(5bp),S&P500 100%
1981-11-30,3.3538259629214613,3.3514965079665426,3.7275109893737817
1981-12-31,3.2322945135357255,3.23004947024679,3.63170509288617
1982-01-31,3.2524390716916414,3.2500976592168063,3.584438058859285
1982-02-28,3.15438257191069,3.1521117497549245,3.3840042365397633
1982-03-31,3.1605729561379947,3.158297677559669,3.3663526791873792
1982-04-30,3.2901302279041906,3.2877616817793776,3.5179679419941294
1982-05-31,3.206055827105889,3.2037478056662443,3.3972680116913
1982-06-30,3.1987848417429525,3.196482054644508,3.3455712157685147
1982-07-31,3.243954056073208,3.241618751913081,3.286009810022851
1982-08-31,3.547693649000289,3.5451396844267595,3.684593954920972
1982-09-30,3.69711928247607,3.694457747234937,3.7302491706630514
1982-10-31,3.9855814166348473,3.9827122191363884,4.159943159243643
1982-11-30,4.117475639063082,4.114511491660583,4.327371901837965
1982-12-31,4.19274548621187,4.189727152472531,4.411167309833918
1983-01-31,4.2906492374071865,4.287396776588171,4.575319395125181
1983-02-28,4.372236172037963,4.3689218654950155,4.680325555327478
1983-03-31,4.491490711308435,4.488086005691826,4.853422448202944
1983-04-30,4.724887844054163,4.721306215322306,5.235662849141356
1983-05-31,4.658277754582716,4.654746618607122,5.189095178360398
1983-06-30,4.733800468790095,4.7302120839798105,5.375336797369484
1983-07-31,4.63510878468582,4.631595211592353,5.2310453065633995
1983-08-31,4.709646814123788,4.706076738620812,5.308972404770661
1983-09-30,4.786728855288328,4.783100348926789,5.381739778351782
1983-10-31,4.754526182873677,4.750922087253848,5.319060159987291
1983-11-30,4.827417198093171,4.823757848557688,5.430883167087997
1983-12-31,4.84066823100366,4.836998836726,5.402189307380035
1984-01-31,4.829223620586299,4.825387035338065,5.371837220857075
1984-02-29,4.704127362401096,4.7003901600964735,5.182678180591721
1984-03-31,4.7352188805339654,4.731456977517761,5.272377797089144
1984-04-30,4.712282674625188,4.708538993318341,5.3211320426398165
1984-05-31,4.516313623070912,4.51272562972374,5.025421258793809
1984-06-30,4.641480797932223,4.637793365301562,5.133545633114248
1984-07-31,4.679582011655398,4.675864309448093,5.069573092865718
1984-08-31,5.029777501120202,5.025781585486799,5.629260034050917
1984-09-30,5.096220795603722,5.09217209397748,5.630442537640079
1984-10-31,5.19295234043306,5.18882679025991,5.651091681537391
1984-11-30,5.219286553165555,5.215140081730515,5.586899403260928
1984-12-31,5.356256222897272,5.352000935665819,5.733334489354731
1985-01-31,5.613119098713005,5.6085222403389015,6.17972517268195
1985-02-28,5.608224336442425,5.603631486629075,6.2548847163264165
1985-03-31,5.688622943486774,5.68396425131313,6.258970322390687
1985-04-30,5.774956636626671,5.770227241559805,6.252406961086518
1985-05-31,6.080796924351045,6.075817061680867,6.612704515160366
1985-06-30,6.156751655270507,6.151709589548027,6.715444872136351
1985-07-31,6.163884743530083,6.158836836171975,6.705565785013369
1985-08-31,6.153628203065113,6.148588695290748,6.647984830706808
1985-09-30,6.07361429061153,6.0686403101521975,6.440165449779147
1985-10-31,6.318924603890617,6.313749726791105,6.737096599735501
1985-11-30,6.686005616753549,6.680530119019005,7.198729223868391
1985-12-31,6.9085911965647,6.902933412588137,7.546553291064908
1986-01-31,6.9892844777071,6.983474710249042,7.588045999593942
1986-02-28,7.441539031866988,7.435353332680885,8.154336787593616
1986-03-31,7.808721506583879,7.802230590919672,8.608852633684215
1986-04-30,7.700703970661116,7.694302843410457,8.51121715097304
1986-05-31,7.971530242922938,7.964903994249848,8.963042337565126
1986-06-30,8.144639964741327,8.137869820476109,9.11396606056865
1986-07-31,7.928213418715398,7.921623176685976,8.60378922552542
1986-08-31,8.289478299531808,8.282587759960485,9.241174358436178
1986-09-30,7.877684324152588,7.871136083888902,8.476679270065267
1986-10-31,8.18392091353535,8.177118117404445,8.965785367225168
1986-11-30,8.35559489413502,8.348649395856413,9.183650366153634
1986-12-31,8.233550521040694,8.226706470832989,8.949286976101108
1987-01-31,8.91067950654626,8.903246123510133,10.154066962572138
1987-02-28,9.137529805371475,9.129907181418112,10.554678376872529
1987-03-31,9.207181234823725,9.19950050691165,10.859025968651732
1987-04-30,9.058229416242206,9.050672945511714,10.760746506937542
1987-05-31,9.130214372746341,9.122597851404205,10.851987489915915
1987-06-30,9.463419177059993,9.455524692747904,11.398514438063065
1987-07-31,9.781246396778238,9.773086777639815,11.974960291282002
1987-08-31,9.937263583661759,9.928973813336832,12.420564455722293
1987-09-30,9.773899906410016,9.765746415791513,12.147585650819556
1987-10-31,8.492683583907493,8.48559889748853,9.531298387442327
1987-11-30,8.057782661923216,8.051060774450562,8.745446420646628
1987-12-31,8.495172954501298,8.488086191423074,9.410531932936102
1988-01-31,8.836538514163088,8.829065501389952,9.819131426794318
1988-02-29,9.078525445969332,9.070847786158286,10.277157075478891
1988-03-31,8.888933386666897,8.881416063833797,9.95947527874879
1988-04-30,8.887147716685316,8.879631903983647,10.069691744837726
1988-05-31,8.934583779789197,8.927027850665823,10.156644040482547
1988-06-30,9.21063290996575,9.202843527587744,10.622678131648842
1988-07-31,9.154756450299374,9.147014322340745,10.582633591539869
1988-08-31,9.04227442313557,9.034627420618243,10.223383776821256
1988-09-30,9.33860837608347,9.330710765546732,10.658907575923848
1988-10-31,9.483483689747672,9.475463558942643,10.955613328640968
1988-11-30,9.353831639562284,9.345921154794054,10.799633170231754
1988-12-31,9.494868322985015,9.486838564257306,10.988030004776924
1989-01-31,9.899393301110479,9.89075619846108,11.792339030493585
1989-02-28,9.729577588441892,9.721088647977508,11.498684888903565
1989-03-31,9.90781732526899,9.899172872758935,11.766787897479418
1989-04-30,10.392333232307257,10.383266045443989,12.377742093440654
1989-05-31,10.793056166719278,10.78363935387256,12.878480987168587
1989-06-30,10.878977670795152,10.86948589246036,12.805639192414958
1989-07-31,11.447608014383484,11.437620112852276,13.961953075069925
1989-08-31,11.578107078402775,11.56800531799382,14.234632336486246
1989-09-30,11.637489077571496,11.627335507076129,14.177045105839376
1989-10-31,11.552033539794076,11.541954528236742,13.847922676991752
1989-11-30,11.728010486430337,11.717777937084799,14.130137350303528
1989-12-31,11.852925838401305,11.842584301900228,14.469556348064012
1990-01-31,11.327038962837953,11.316783675975842,13.498207110323863
1990-02-28,11.42284965349425,11.412507621444774,13.672111701624408
1990-03-31,11.565923455097273,11.555451886733614,14.034413127464669
1990-04-30,11.443180034924627,11.43281959613229,13.684315818448797
1990-05-31,12.167203296090765,12.156187340330366,15.01834706053791
1990-06-30,12.216978008419263,12.205916987575653,14.916903685487744
