,해자+과열회피,기존 해자기업 고정,NASDAQ 40%,S&P500 100%
2019-06-14,269766.99508523755,343152.04723283334,78182.55904707758,80263.00316587281
2019-06-17,270765.1441139359,342080.35254701733,78227.80871852956,80337.7881581715
2019-06-18,272677.4225159082,346761.9259484438,78699.77928795236,81118.46257042667
2019-06-19,272490.12997791864,347618.2450218397,78890.81636153642,81360.61444783169
2019-06-20,277675.7594208479,352823.08244763047,79764.61718085455,82131.27725510947
2019-06-21,277978.4810006786,354122.10304461373,79978.00654212883,82027.85567881112
2019-06-24,279214.3926134801,355523.7196843996,80013.29459879175,81885.79270106454
2019-06-25,278962.57212295104,354538.73347224307,79924.66195484537,81108.17267676858
2019-06-26,279567.34242914856,355366.6759907891,79573.2116924258,81008.09056463894
2019-06-27,280587.1002682302,356691.72474145214,79799.49802066413,81317.79871617256
2019-06-28,281600.6396270065,357852.4725084324,80076.1525168285,81785.98209008684
2019-07-01,282016.2783598838,360936.7159912848,80128.53841810374,82413.46876489514
2019-07-02,282156.5538793941,359813.044251467,80223.19878362546,82654.78577625798
2019-07-03,284419.40188755473,361412.6279271828,80865.94132899924,83288.94459187491
2019-07-05,282607.26081944763,358007.84553858853,80414.17719336197,83138.53295370654
2019-07-08,282094.9037299011,356762.8458405534,80337.02781465751,82736.52119804604
2019-07-09,282479.66141382407,356397.1992566916,80381.65097778167,82838.8296196215
2019-07-10,285186.81376785506,360116.8565018639,80927.09713889078,83212.48986749187
2019-07-11,286034.83490689896,362425.3773486,80992.04467293876,83402.64927430256
2019-07-12,286727.91680753976,362505.9647211512,81097.4767387513,83787.98407170587
2019-07-15,286926.9685613606,363208.9247240138,81242.64667734105,83802.71979672677
2019-07-16,286254.25339976704,362650.5072431471,81048.29333766541,83517.47389898192
2019-07-17,285872.91937353095,365650.8331728641,80895.73952582844,82972.0009346424
2019-07-18,286617.1111796398,369643.9638963049,81111.49100801315,83269.20645812972
2019-07-19,286347.03468386206,370391.08109968406,81224.73409942535,82754.8746759164
2019-07-22,287666.0882873508,371997.31584520586,81276.21212795863,82988.96296910914
2019-07-23,288504.81234268827,373499.05217635777,81444.41018920334,83557.22845515306
2019-07-24,289880.66454094485,374991.1538766848,81771.71127207468,83948.95710468426
2019-07-25,287439.04632632463,371106.40091044,81232.42835827377,83507.18400532383
2019-07-26,288048.69627335813,375229.0693057527,81701.62070229604,84124.10928532212
2019-07-29,287313.21695805487,375445.7179293913,81523.51669813316,83988.15508349394
2019-07-30,287568.6386740025,374380.8654966915,81554.86789890044,83771.5786146006
2019-07-31,285960.40565777104,370998.4307289026,81160.0807371723,82859.6809080896
2019-08-01,282868.6173604351,367336.30991779873,80534.82125214305,82114.04371949083
2019-08-02,282821.21761972696,368105.31827186735,80661.85137454057,81516.02849472436
2019-08-05,278177.7360346999,362871.20584175206,79860.83007059072,79088.65887085018
2019-08-06,279647.15774868825,365609.0029922936,80324.82103135798,80118.15730131898
2019-08-07,282360.8414257637,369400.3623972848,81139.81083344013,80179.59801200041
2019-08-08,284872.3659408224,372098.2079575406,81728.77986868056,81683.95195719211
2019-08-09,283162.0433271886,369445.0282576784,81417.42261813491,81143.4814015769
2019-08-12,282198.68050182686,368159.93779106566,81125.5557154325,80144.01099851138
2019-08-13,284954.9201163161,371277.2617418724,81680.88268054338,81356.72519383032
