Date,gross,min,base,conservative
2018-09-20,1.030535355222029,1.023285374785145,1.01248205256244,0.9946664594184081
2018-09-21,1.0391863983975238,1.0318755564933808,1.0209815435374432,1.0030163936948417
2018-09-27,1.046986873475007,1.03962115398571,1.0286453669835691,1.0105453648143528
2018-09-28,1.048935261731308,1.0415558350201577,1.030559622647804,1.0124259373135367
2018-10-01,1.0472599521971593,1.0398923115555376,1.0289136618108303,1.010808938736712
2018-10-02,1.041201030276684,1.033876015116245,1.0229608823440486,1.0049609041360619
2018-10-04,1.0242529906757618,1.0170472076745374,1.0063097448211111,0.9886027593538285
2018-10-05,1.0198664894451073,1.012691566179017,1.0020000879548274,0.9843689350350213
2018-10-08,1.0145532870878826,1.0074157430470192,0.9967799642578937,0.9792406644229998
2018-10-10,0.9888558208783569,0.9818990626070961,0.9715326758445147,0.9544376262728472
2018-10-11,0.9425858520826851,0.9359546104148907,0.9260732816171827,0.9097781337031086
2018-10-12,0.9557999059397919,0.9490757012974906,0.9390558467510414,0.9225322581472727
2018-10-15,0.9496635769441847,0.9429825423541742,0.9330270162551364,0.9166095107083242
2018-10-16,0.9585369716785523,0.9517935113426352,0.9417449635514847,0.9251740573575304
2018-10-17,0.9723462819927974,0.9655056709583449,0.9553123572178827,0.9385027197150881
2018-10-18,0.9640577109663235,0.9572754113498027,0.9471689884696209,0.9305026413531338
2018-10-19,0.9674191644402109,0.9606132164628631,0.950471554748001,0.9337470958091878
2018-10-22,0.9667240284735852,0.9599229708885306,0.9497885964324685,0.9330761548004837
2018-10-23,0.941839239054784,0.9352132499286115,0.925339748034731,0.9090575073478314
2018-10-24,0.9327889665333498,0.9262266475165011,0.9164480215623511,0.900322239333929
2018-10-25,0.9087651726548599,0.9023718648560701,0.8928450854639677,0.8771346195421104
2018-10-26,0.8882493726306087,0.8820003967541242,0.8726886888752847,0.8573328940905255
2018-10-29,0.8488617298087071,0.8428898522757844,0.8339910534687603,0.819316180707551
2018-10-30,0.8527852054999249,0.8467857256903196,0.8378457962496785,0.8231030955907933
2018-10-31,0.8644806540385281,0.8583988948848171,0.8493363595593207,0.8343914714143441
2018-11-01,0.8672697453993553,0.8599394115819677,0.8490366448116149,0.8311105754316573
2018-11-02,0.8974290507956179,0.8898438046197307,0.8785618941349388,0.8600124456922932
2018-11-05,0.8831472611124314,0.8756827274212617,0.8645803585644408,0.8463261081891656
2018-11-06,0.8923498977174334,0.8848075815385515,0.8735895229541587,0.8551450582849629
2018-11-07,0.8764940588383004,0.8690857593163529,0.8580670303109804,0.8399502985868488
2018-11-08,0.8946369589965263,0.887075312127596,0.8758285020551597,0.8573367648742883
2018-11-09,0.8915144287736075,0.8839791741419372,0.8727716185447486,0.854344422636894
2018-11-12,0.8872946715543676,0.8797950831375161,0.8686405756594773,0.850300600205328
2018-11-13,0.8775853277999998,0.8701678046589691,0.8591353569103382,0.8409960691553713
2018-11-14,0.8762759423417087,0.8688694863831272,0.8578534994004113,0.8397412760446062
2018-11-15,0.873924315522505,0.8665377359745675,0.8555513121570337,0.8374876958531182
2018-11-16,0.8756491681252587,0.8682480097851621,0.8572399022115181,0.8391406339923926
2018-11-19,0.8879913868070608,0.880485909616382,0.869322643474795,0.8509682672347034
2018-11-20,0.8860976461016744,0.8786081751784893,0.8674687159474327,0.8491534824624671
2018-11-21,0.8877781136867622,0.880274439122284,0.8691138541154897,0.8507638861333497
2018-11-22,0.8724171791751357,0.8650433382389082,0.8540758611864077,0.8360433967021784
2018-11-23,0.8605327942432892,0.8532594024570833,0.8424413283761591,0.8246545086984697
2018-11-26,0.8650415166079786,0.8577300162169257,0.8468552613297873,0.8289752484208648
2018-11-27,0.8726409473285321,0.865265215060028,0.8542949249358157,0.836257835266096
2018-11-28,0.8790770277801631,0.8716468964986225,0.8605956960412047,0.8424255755292089
2018-11-29,0.8834705634850226,0.8760032971788533,0.8648968639690635,0.8466359310814644
2018-11-30,0.8829517994436752,0.8754889178328278,0.8643890061964951,0.8461387959246062
2018-12-03,0.8968205698003187,0.8892404666250271,0.8779662055784997,0.8594293341600104
2018-12-04,0.8939037982047282,0.8863483481544628,0.8751107549158439,0.8566341718335562
2018-12-05,0.8927126533585156,0.8851672710978784,0.8739446521789759,0.8554926895164227
2018-12-06,0.8825785169246535,0.8751187903707964,0.8640235714062259,0.8457810767134514
2018-12-07,0.8791268195729487,0.8716962674414196,0.8606444410330717,0.8424732913474688
2018-12-10,0.8639201277689024,0.8566181055760378,0.8457574480802084,0.8279006137662244
2018-12-11,0.8551252364796127,0.8478975504311601,0.8371474567466551,0.8194724088172156
2018-12-12,0.8745433641889335,0.8671515523203736,0.8561573462144971,0.8380809344574911
2018-12-13,0.8867695770896775,0.8792744268741265,0.8681265205516235,0.8497973985601426
2018-12-14,0.8781265538387412,0.8707044561491855,0.8596652044490715,0.8415147297991711
2018-12-17,0.8788167171967075,0.8713887861112225,0.8603408581138373,0.8421761181026649
2018-12-18,0.8857301277007321,0.8782437631150818,0.8671089240929399,0.8488012870454018
2018-12-19,0.8858684041306392,0.87838087080551,0.8672442934595386,0.848933798301373
2018-12-20,0.8817877857388475,0.8743347425999054,0.8632494642077376,0.845023313567287
2018-12-21,0.8768995727879707,0.8694878457826658,0.8584640189123688,0.8403389054001775
