Date,NAV_Gross,NAV_Net,NAV_SPY
2014-04-30,34074.07281021928,34047.73585781141,18098.171963804198
2014-05-31,34887.733260600115,34860.76740372645,18518.171107792175
2014-06-30,35342.51688650563,35315.19951266545,18900.46968027949
2014-07-31,35192.86488847625,35165.663185503225,18646.4918149482
2014-08-31,36198.11017847623,36170.131488921405,19382.346779480013
2014-09-30,34578.804043780365,34552.07696828533,19114.943041410683
2014-10-31,35107.41537682232,35080.279720539234,19565.11165325203
2014-11-30,35390.83031414433,35363.47559729408,20102.61511672174
2014-12-31,35260.45173025784,35233.197787229896,20051.622030145132
2015-01-31,36697.53272665788,36666.4085415818,19457.502832723978
2015-02-28,36320.52818590965,36289.72374873563,20551.104142872893
2015-03-31,35899.92729946899,35869.479585454814,20228.335349466885
2015-04-30,36208.9096377874,36178.199867368654,20427.256323788784
2015-05-31,35435.49719248651,35405.443374397495,20689.879009458924
2015-06-30,34414.55610015294,34385.36817023539,20269.61855653845
2015-07-31,34355.187121909286,34326.04954445222,20727.498485083965
2015-08-31,33161.50139601182,33133.376216192824,19464.152694523073
2015-09-30,32537.539096498353,32509.943116237126,18967.505333180125
2015-10-31,33637.14948866132,33608.620898635505,20580.88254839281
2015-11-30,33093.98823218207,33065.920312130955,20656.107082598373
2015-12-31,32416.523191282675,32389.02984793328,20299.11763182019
2016-01-31,32465.759099241015,32437.159489921465,19288.49001732295
2016-02-29,33045.06939162766,33015.95945855482,19272.55377670248
2016-03-31,34597.77091931311,34567.293186493276,20568.95064189635
2016-04-30,35105.9024855719,35074.97713148337,20650.012277014466
2016-05-31,34697.62742210298,34667.06172408391,21001.296182411625
2016-06-30,36331.36008536522,36299.355205968655,21074.3040960175
2016-07-31,37251.8553684746,37219.03960997933,21842.903772985588
2016-08-31,37132.37181864987,37099.66131513523,21869.059896062103
2016-09-30,37301.777137928744,37268.917402543884,21870.330398113143
2016-10-31,36351.116923066285,36319.09463955366,21491.16573068508
2016-11-30,34729.44552927032,34698.85180216894,22282.86151302375
2016-12-31,34952.963131674296,34922.17250432225,22734.576352893186
2017-01-31,35772.37843606765,35740.11350633095,23141.40192242276
2017-02-28,36445.04535807287,36412.17371578521,24050.67050520475
2017-03-31,36614.14286663529,36581.11870669376,24080.730043093423
2017-04-30,37079.50160243426,37046.057711751586,24319.762839617102
2017-05-31,37690.258733400435,37656.26396975997,24662.985814979722
2017-06-30,37710.61827910955,37676.60515215805,24820.203685807508
2017-07-31,38374.25464907727,38339.64295468955,25330.367026416945
2017-08-31,39198.660811467,39163.30554318046,25404.27420317668
2017-09-30,39016.77283639242,38981.58162213283,25916.154974218236
2017-10-31,39436.04767551952,39400.47829593191,26526.848366481227
2017-11-30,39857.70110987731,39821.75141958553,27337.655743502706
2017-12-31,40854.33825051815,40817.48964243779,27669.21172556249
2018-01-31,41626.842369096004,41587.77973399404,29228.62594302108
2018-02-28,40064.98664676626,40027.389657307605,28165.862691166574
2018-03-31,40487.07222704773,40449.07915241744,27393.817340550806
2018-04-30,40193.62193601108,40155.90423517776,27535.394520171405
2018-05-31,40150.012593141815,40112.33581532235,28204.74726245097
2018-06-30,39850.435857305536,39813.040202339784,28366.94802430168
2018-07-31,40066.01105990123,40028.41310913314,29417.849652751902
2018-08-31,39897.215350020546,39859.77579717183,30356.867806964714
2018-09-30,39585.08462728355,39547.937977951704,30537.365600481102
2018-10-31,37529.58079031571,37494.36302609176,28427.092329906962
2018-11-30,37846.84152159759,37811.32603985598,28954.393932226292
2018-12-31,37800.197099253826,37764.72538864511,26405.004516589655
2019-01-31,39625.507144519244,39587.31138663266,28519.132544450593
2019-02-28,39666.25563332676,39628.02059721952,29443.602098580945
2019-03-31,40680.52652005646,40641.313809516454,29976.54977597254
2019-04-30,40954.607443161956,40915.13054096019,31201.15876995566
2019-05-31,40926.96722988548,40887.51697059557,29211.442628046916
2019-06-30,42479.287240842226,42438.34067163545,31244.161209589947
2019-07-31,42450.56423902725,42409.645356452194,31716.546487084284
2019-08-31,44010.14351141962,43967.7213215916,31185.50906809568
2019-09-30,43691.610095378586,43649.494945790924,31792.315264721623
2019-10-31,44172.74523177131,44130.166307143154,32495.04887152826
2019-11-30,44382.0634248523,44339.28273455347,33671.32832791559
2019-12-31,45012.75536491152,44969.366739008095,34649.668971141036
2020-01-31,45844.68747985162,45799.75749423041,34635.66641662097
2020-02-29,45523.79747515481,45479.181977080356,31893.721151831676
2020-03-31,43026.04945483308,42983.88186923896,27911.104503298953
2020-04-30,45371.01726917913,45326.55150301114,31455.36730799977
2020-05-31,46101.58416870345,46056.40241204461,32954.05873594044
2020-06-30,47085.485129850924,47039.33910320864,33538.4752623788
2020-07-31,49886.56040902152,49837.66919468281,35513.63199142171
2020-08-31,49864.195214258696,49815.32591888015,37992.36527384484
2020-09-30,49232.25748453634,49184.007518346654,36569.799445394165
2020-10-31,48189.140704872974,48141.91304300005,35657.982649987796
2020-11-30,50869.15960083923,50819.30539231326,39536.737107445115
2020-12-31,52225.85079304266,52174.66696228324,41001.51243807975
2021-01-31,51662.65946907054,51610.33062437721,40583.684861427246
2021-02-28,50750.844341531476,50699.43906973758,41712.13577251689
2021-03-31,50257.71120769393,50206.8054279401,43605.832595585955
2021-04-30,51825.65055450777,51773.15661697401,45913.04629898679
2021-05-31,52961.07394039866,52907.42993829926,46214.51751332997
2021-06-30,53811.116038867614,53756.61103345535,47250.98407592359
2021-07-31,54615.31227582047,54559.99270413502,48404.50262322613
2021-08-31,54921.62750522735,54865.997668405886,49845.0176721427
2021-09-30,53517.754299939705,53463.5464391389,47521.963241041536
2021-10-31,55151.634176396255,55095.771366988825,50856.276032339025
2021-11-30,54663.47017297662,54608.101822402365,50447.65013437114
2021-12-31,55586.17530029542,55529.87234639643,52780.74603700205
2022-01-31,54073.021143194055,54014.9361716661,49997.01657284304
2022-02-28,53425.943323701256,53368.55343996251,48521.25905852174
2022-03-31,52860.343403826264,52803.56108472045,50345.1918030089
2022-04-30,49438.910592823486,49385.8035598994,45926.44333763574
2022-05-31,48997.19958565517,48944.567036507535,46030.105492218
2022-06-30,46341.002894729434,46291.223618912976,42234.44367102992
2022-07-31,47849.39736749528,47797.99778180615,46123.71536248714
2022-08-31,46118.65860096477,46069.11816628757,44241.77203498818
2022-09-30,41813.20992929323,41768.294386257396,40151.79345781532
2022-10-31,42102.06611766834,42056.840286745435,43415.149160094326
2022-11-30,45571.68957884813,45522.73669558573,45828.67415001364
2022-12-31,44544.32254086736,44496.47325018936,43187.65180134195
2023-01-31,47459.55642644124,47405.570017377366,45903.61394758934
2023-02-28,45398.61741558386,45346.97537517559,44749.468258848836
2023-03-31,47206.785927657926,47153.08705123392,46408.67185229718
2023-04-30,47458.89605062817,47404.91039275796,47150.050347022574
2023-05-31,46298.43122894076,46245.765628257876,47367.711677130115
2023-06-30,47425.009609915076,47371.062498702006,50437.132900371245
2023-07-31,48039.59112287478,47984.94491012221,52088.093548597586
2023-08-31,46485.84053457115,46432.96175120815,51241.5643394401
2023-09-30,44018.01388753359,43967.94231748858,48810.94794320563
2023-10-31,42762.040849790596,42713.397979870366,47751.32400280211
2023-11-30,45976.62921031507,45924.32966731842,52113.117933676855
2023-12-31,48358.17263182856,48303.1640247985,54492.35558739293
2024-01-31,47710.16725339274,47654.15621409545,55360.229231008074
2024-02-29,47901.02247045573,47844.78736992204,58249.30764396174
2024-03-31,49075.901954559224,49018.287562676494,60154.17407229666
2024-04-30,47397.54059863117,47341.896578459,57728.776646189646
2024-05-31,48924.350681501746,48866.91420859938,60648.671491870955
2024-06-30,49425.139415016136,49367.115023457285,62788.37715889576
2024-07-31,50586.735307865136,50527.347219699295,63548.688837377675
2024-08-31,51542.21180456218,51481.702000948986,65033.5435068106
