Date,NAV_Gross,NAV_Net,NAV_SPY,Turnover,TradedFraction,Cost
2023-05-11,47161.8346773981,47108.18693412338,46719.287077146786,0.0,0.0,0.0
2023-05-12,46913.81932488381,46860.45370515349,46658.06870172243,0.0,0.0,0.0
2023-05-15,46952.69077878833,46899.28094182614,46819.04221265573,0.0,0.0,0.0
2023-05-16,46649.1079807796,46596.0434766935,46506.16351181166,0.0,0.0,0.0
2023-05-17,46763.902761947014,46710.707675982754,47070.702538075464,0.0,0.0,0.0
2023-05-18,46560.16370685385,46507.200379060094,47524.14021476873,0.0,0.0,0.0
2023-05-19,46492.19704936844,46439.31103531401,47454.996069102526,0.0,0.0,0.0
2023-05-22,46441.780341203346,46388.95167739058,47474.27526192825,0.0,0.0,0.0
2023-05-23,46327.869211794525,46275.170124684366,46941.47175498216,0.0,0.0,0.0
2023-05-24,46024.96562218913,45972.611095338834,46601.388091070505,0.0,0.0,0.0
2023-05-25,45936.8908904955,45884.636550811956,47004.953606401,0.0,0.0,0.0
2023-05-26,46365.84872854589,46313.10643880424,47613.69889551906,0.0,0.0,0.0
2023-05-30,46372.33332260444,46319.583656478055,47631.83193330297,0.0,0.0,0.0
2023-05-31,46298.43122894076,46245.765628257876,47367.711677130115,0.0,0.0,0.0
2023-06-01,46708.36215288277,46655.23024572307,47817.74693130936,0.0,0.0,0.0
2023-06-02,46727.12548434327,46673.972233434,48509.2460561497,0.0,0.0,0.0
2023-06-05,46675.79576591486,46622.700903818804,48416.2885571465,0.0,0.0,0.0
2023-06-06,46944.78739196461,46891.38654529871,48521.72040394738,0.0,0.0,0.0
2023-06-07,46508.166107008336,46455.2619277593,48353.94204798604,0.0,0.0,0.0
2023-06-08,46962.53322846482,46909.1121954748,48646.41342226828,0.0,0.0,0.0
2023-06-09,46954.3640298267,46900.95228950042,48733.70141850182,0.0,0.0,0.0
2023-06-12,47054.434201957476,47000.908629356854,49175.807298178064,0.0,0.0,0.0
2023-06-13,47024.51535395018,46971.02381477272,49500.01779603915,0.0,0.0,0.0
2023-06-14,47300.87700164583,47247.07109431819,49558.96909120786,0.0,0.0,0.0
2023-06-15,47793.53810198372,47739.171780575234,50173.383883095565,0.0,0.0,0.0
2023-06-16,47709.06546905404,47654.79523733663,50002.48423698895,0.0,0.0,0.0
2023-06-20,47582.57993426237,47528.453582942006,49743.05312455629,0.0,0.0,0.0
2023-06-21,47626.949953591444,47572.77313028621,49488.18861098512,0.0,0.0,0.0
2023-06-22,47225.47859133739,47171.75845155013,49666.82660575444,0.0,0.0,0.0
2023-06-23,47160.614278112815,47106.967923072196,49291.34909747027,0.0,0.0,0.0
2023-06-26,47159.59683959868,47105.951641919324,49089.95019361619,0.0,0.0,0.0
2023-06-27,47244.53176584353,47190.78995260311,49628.13846670205,0.0,0.0,0.0
2023-06-28,47261.65736428519,47207.89607025663,49653.17006030358,0.0,0.0,0.0
2023-06-29,46902.919630891076,46849.56640982991,49848.87783582118,0.0,0.0,0.0
2023-06-30,47425.009609915076,47371.062498702006,50437.132900371245,0.0,0.0,0.0
2023-07-03,47432.51055335998,47378.55490963982,50495.15429616642,0.0,0.0,0.0
2023-07-05,47064.51609064138,47010.97904964518,50420.05951536182,0.0,0.0,0.0
2023-07-06,46456.11510034219,46403.270130389414,50025.23793755145,0.0,0.0,0.0
2023-07-07,46493.042733597584,46440.15575755658,49898.94102302425,0.0,0.0,0.0
2023-07-10,46535.38168103906,46482.44654340727,50025.23793755144,0.0,0.0,0.0
2023-07-11,46828.13954738531,46774.87139050262,50343.825788037684,0.0,0.0,0.0
2023-07-12,47566.84509379045,47512.7366412369,50748.88346747921,0.0,0.0,0.0
2023-07-13,48040.09788829666,47985.45109908599,51151.681275187366,0.0,0.0,0.0
2023-07-14,47785.715719427266,47731.358296170714,51119.816002468695,0.0,0.0,0.0
2023-07-17,47824.58177806103,47770.18014370985,51297.30784219621,0.0,0.0,0.0
2023-07-18,48006.20567052086,47951.59743453888,51678.48368733913,0.0,0.0,0.0
2023-07-19,48265.65596876965,48210.752601712156,51793.40915797679,0.0,0.0,0.0
2023-07-20,47953.715437723025,47899.16691066784,51449.77890110561,0.0,0.0,0.0
2023-07-21,47986.634789998156,47932.04881637264,51449.77890110561,0.0,0.0,0.0
2023-07-24,48080.88266392621,48026.1894810333,51679.62263385865,0.0,0.0,0.0
2023-07-25,48105.09717834301,48050.376450846255,51820.71143609509,0.0,0.0,0.0
2023-07-26,48149.23219564258,48094.461263481535,51828.673248948326,0.0,0.0,0.0
2023-07-27,47536.38832899951,47482.314521762666,51485.05380486056,0.0,0.0,0.0
2023-07-28,47968.5032004642,47913.93785196633,51989.10612071097,0.0,0.0,0.0
2023-07-31,48039.59112287478,47984.94491012221,52088.093548597586,0.0,0.0,0.0
2023-08-01,47424.19712878705,47370.25094179118,51939.042933507895,0.0,0.0,0.0
2023-08-02,46801.341279435335,46748.10360623951,51216.53274583853,0.0,0.0,0.0
2023-08-03,46339.51378309252,46286.80144999701,51069.752815265616,0.0,0.0,0.0
2023-08-04,46719.57531754879,46666.43065513937,50838.77374025418,0.0,0.0,0.0
2023-08-07,46648.3890922471,46595.325405914315,51282.51955874809,0.0,0.0,0.0
2023-08-08,46631.96888419706,46578.92387625353,51059.51310937332,0.0,0.0,0.0
2023-08-09,46687.54144815949,46634.43322506192,50718.16434980231,0.0,0.0,0.0
2023-08-10,46384.79150180511,46332.02766419444,50736.36586854785,0.0,0.0,0.0
2023-08-11,46217.85529615518,46165.28135257143,50706.78209312936,0.0,0.0,0.0
2023-08-14,46111.803541760615,46059.35023464769,50986.6818045632,0.0,0.0,0.0
2023-08-15,45702.04142547726,45650.05423281829,50392.753632982356,0.0,0.0,0.0
2023-08-16,45385.12926763842,45333.50257032915,50022.970857295804,0.0,0.0,0.0
2023-08-17,45202.52283711072,45151.10385909339,49641.795012152885,0.0,0.0,0.0
2023-08-18,45261.02567039291,45209.54014396833,49665.68765923491,0.0,0.0,0.0
2023-08-21,45125.79194936581,45074.460254614605,49988.82408727696,0.0,0.0,0.0
2023-08-22,45257.770896835136,45206.28907279528,49853.42280911586,0.0,0.0,0.0
2023-08-23,46055.68592479681,46003.2964528491,50408.68086295,0.0,0.0,0.0
2023-08-24,45705.529793327536,45653.538632564625,49710.06332236264,0.0,0.0,0.0
2023-08-25,45872.15235095871,45819.97165295118,50060.512841306416,0.0,0.0,0.0
2023-08-28,46059.154812784815,46006.76139489197,50377.96174527314,0.0,0.0,0.0
2023-08-29,46542.017509435296,46489.074823386036,51106.16306127898,0.0,0.0,0.0
2023-08-30,46518.62142990812,46465.70535747294,51316.6591202447,0.0,0.0,0.0
2023-08-31,46485.84053457115,46432.96175120815,51241.5643394401,0.0,0.0,0.0
2023-09-01,46252.94118942417,46200.327334776586,51337.13853202929,0.0,0.0,0.0
2023-09-05,45831.911360736325,45779.77643784182,51115.263820651766,0.0,0.0,0.0
2023-09-06,45758.33173681784,45706.28051254959,50771.64077230285,0.0,0.0,0.0
2023-09-07,45733.19676444435,45681.17413182345,50615.760082357156,0.0,0.0,0.0
2023-09-08,45859.69300952789,45807.52648432673,50691.99741394243,0.0,0.0,0.0
2023-09-11,45934.7155670166,45882.463701816865,51025.38075639905,0.0,0.0,0.0
2023-09-12,45940.91845156442,45888.659530431425,50745.46662792066,0.0,0.0,0.0
2023-09-13,45932.634389687766,45880.38489187826,50804.63778301876,0.0,0.0,0.0
2023-09-14,46009.24607229106,45956.909426814214,51242.699681698476,0.0,0.0,0.0
2023-09-15,45799.864465763305,45747.76599699757,50625.31497863327,0.0,0.0,0.0
2023-09-18,45906.63444994399,45854.41452770342,50655.00327762475,0.0,0.0,0.0
2023-09-19,45720.55781174316,45668.54955624084,50549.94627398219,0.0,0.0,0.0
2023-09-20,45625.59931181173,45573.699073931304,50085.22725992782,0.0,0.0,0.0
2023-09-21,44801.16179343588,44750.19937344643,49257.400561813985,0.0,0.0,0.0
2023-09-22,45035.68814129002,44984.45894182969,49146.64161705154,0.0,0.0,0.0
2023-09-25,44471.29599719155,44420.70880763309,49353.31355495012,0.0,0.0,0.0
2023-09-26,44069.60189389639,44019.47164122929,48628.25155039523,0.0,0.0,0.0
2023-09-27,43937.83581332359,43887.85544780382,48647.66410088305,0.0,0.0,0.0
2023-09-28,44138.07502768615,44087.86688515051,48929.693930649286,0.0,0.0,0.0
2023-09-29,44018.01388753359,43967.94231748858,48810.94794320563,0.0,0.0,0.0
2023-10-02,43502.39511425247,43452.91007320417,48791.53178845668,0.0,0.0,0.0
2023-10-03,42819.55973720871,42770.85143814378,48138.4108362109,0.0,0.0,0.0
2023-10-04,43033.14244851819,42984.191193882456,48488.950461683104,0.0,0.0,0.0
2023-10-05,42924.81688226889,42875.98885062072,48470.67325345368,0.0,0.0,0.0
2023-10-06,42955.401886165084,42906.5390633251,49046.1620250539,0.0,0.0,0.0
2023-10-09,43481.52679068521,43432.06548786662,49360.16885963408,0.0,0.0,0.0
2023-10-10,43700.72406722042,43651.013422125434,49617.07698927034,0.0,0.0,0.0
2023-10-11,44195.83098511826,44145.55714376496,49820.32487908809,0.0,0.0,0.0
2023-10-12,43509.880523737345,43460.386967852224,49516.59739727271,0.0,0.0,0.0
2023-10-13,43931.932701496524,43881.9590509112,49269.965016140115,0.0,0.0,0.0
2023-10-16,43802.08336189415,43752.2574181163,49788.34787427414,0.0,0.0,0.0
2023-10-17,43638.04895511971,43588.409604501416,49786.066376973955,0.0,0.0,0.0
2023-10-18,43245.293716949345,43196.10113504418,49122.66246770222,0.0,0.0,0.0
2023-10-19,42890.021594865415,42841.2331437098,48691.052196459044,0.0,0.0,0.0
2023-10-20,42765.568026758854,42716.92114458835,48092.7304305513,0.0,0.0,0.0
2023-10-23,42894.63762235774,42845.84392035767,48009.37828748016,0.0,0.0,0.0
2023-10-24,43227.218503125725,43178.046482219455,48371.33981649784,0.0,0.0,0.0
2023-10-25,42692.06310179343,42643.49983327729,47677.10145319283,0.0,0.0,0.0
2023-10-26,42810.178057287056,42761.48043011306,47106.19009323753,0.0,0.0,0.0
2023-10-27,42781.86723638327,42733.20181346218,46892.66645491612,0.0,0.0,0.0
2023-10-30,42858.22940427398,42809.477117514645,47453.31287915118,0.0,0.0,0.0
2023-10-31,42762.040849790596,42713.397979870366,47751.32400280211,0.0,0.0,0.0
2023-11-01,43340.73023974395,43291.42909645416,48260.58447599654,0.0,0.0,0.0
2023-11-02,44160.09580016255,44109.862608458316,49185.46311376604,0.0,0.0,0.0
2023-11-03,44553.540743889476,44502.85999891513,49634.20443819685,0.0,0.0,0.0
2023-11-06,44435.97865421145,44385.43163899655,49748.380222517866,0.0,0.0,0.0
2023-11-07,44555.84265151157,44505.15928806087,49889.97001705245,0.0,0.0,0.0
2023-11-08,44740.64160732676,44689.748030532865,49926.51001646676,0.0,0.0,0.0
2023-11-09,44183.85364439248,44133.593427557935,49537.14168575778,0.0,0.0,0.0
2023-11-10,44417.74718007415,44367.22090360808,50310.16198901129,0.0,0.0,0.0
2023-11-13,44416.33988904942,44365.8152134114,50262.2072945738,0.0,0.0,0.0
2023-11-14,45302.804708306954,45251.27165720239,51237.33654112552,0.0,0.0,0.0
2023-11-15,45095.13893949362,45043.8421132927,51345.80678006551,0.0,0.0,0.0
2023-11-16,45224.39827885356,45172.954416984896,51408.60382186819,0.0,0.0,0.0
2023-11-17,45451.145636136804,45399.443843589775,51472.550622973795,0.0,0.0,0.0
2023-11-20,45799.189784045855,45747.09208274712,51868.770654105596,0.0,0.0,0.0
2023-11-21,45704.88920536316,45652.89877328476,51755.723003520696,0.0,0.0,0.0
2023-11-22,45785.95227742521,45733.86963411482,51955.53963673531,0.0,0.0,0.0
2023-11-24,45615.39792222455,45563.509288674904,51987.5130372881,0.0,0.0,0.0
2023-11-27,45838.03430409064,45785.89241619796,51893.8959584967,0.0,0.0,0.0
2023-11-28,46017.73333756414,45965.38703761496,51945.26749249276,0.0,0.0,0.0
2023-11-29,46246.201481802265,46193.59529373736,51908.731097339594,0.0,0.0,0.0
2023-11-30,45976.62921031507,45924.32966731842,52113.117933676855,0.0,0.0,0.0
2023-12-01,46523.041441081165,46470.12034077492,52421.415618614876,0.0,0.0,0.0
2023-12-04,46137.882467628195,46085.3994950977,52146.23028074918,0.0,0.0,0.0
2023-12-05,46449.34030086846,46396.503037416245,52135.95813650665,0.0,0.0,0.0
2023-12-06,46623.02323677536,46569.988404725125,51925.858546266085,0.0,0.0,0.0
2023-12-07,46637.59968839986,46584.548275278525,52322.071368875615,0.0,0.0,0.0
2023-12-08,46503.755156017454,46450.85599433334,52547.01330648134,0.0,0.0,0.0
2023-12-11,46430.471794204124,46377.65599414086,52751.400142818595,0.0,0.0,0.0
2023-12-12,46464.488545770786,46411.63405081858,52992.326978570156,0.0,0.0,0.0
2023-12-13,47354.0689132059,47300.202498774706,53723.094528506066,0.0,0.0,0.0
2023-12-14,48184.61935371552,48129.80816779456,53895.50796429051,0.0,0.0,0.0
2023-12-15,48047.28553224935,47992.63056691749,53806.77465934074,0.0,0.0,0.0
2023-12-18,47958.16000297084,47903.606420113756,54109.442488381625,0.0,0.0,0.0
