rcept_no,status,candidate_rows,documents_in_zip,error,updated_at_utc
20010331000285,NO_CANDIDATES,0,1,,2026-09-02T18:58:09.899445+00:00
20010330001236,NO_CANDIDATES,0,1,,2026-09-02T18:58:10.506539+00:00
20010331000280,NO_CANDIDATES,0,1,,2026-09-02T18:58:10.691552+00:00
20010331000418,NO_CANDIDATES,0,1,,2026-09-02T18:58:11.171985+00:00
20010331000420,NO_CANDIDATES,0,1,,2026-09-02T18:58:11.762106+00:00
20010331000066,NO_CANDIDATES,0,1,,2026-09-02T18:58:11.833447+00:00
20010331000260,NO_CANDIDATES,0,1,,2026-09-02T18:58:11.857944+00:00
20010330001305,NO_CANDIDATES,0,1,,2026-09-02T18:58:12.387432+00:00
20010331000057,NO_CANDIDATES,0,1,,2026-09-02T18:58:12.658869+00:00
20010331000577,NO_CANDIDATES,0,1,,2026-09-02T18:58:12.844168+00:00
20010330001217,NO_CANDIDATES,0,1,,2026-09-02T18:58:13.652356+00:00
20010331000234,NO_CANDIDATES,0,1,,2026-09-02T18:58:13.679323+00:00
20010330001521,NO_CANDIDATES,0,1,,2026-09-02T18:58:13.822194+00:00
20010330001336,NO_CANDIDATES,0,1,,2026-09-02T18:58:14.715005+00:00
20010331000096,NO_CANDIDATES,0,1,,2026-09-02T18:58:14.952787+00:00
20010331000069,NO_CANDIDATES,0,1,,2026-09-02T18:58:15.120582+00:00
20010330001460,NO_CANDIDATES,0,1,,2026-09-02T18:58:15.958291+00:00
20010330001466,NO_CANDIDATES,0,1,,2026-09-02T18:58:15.965654+00:00
20010331000445,NO_CANDIDATES,0,1,,2026-09-02T18:58:17.008718+00:00
20010330001270,NO_CANDIDATES,0,1,,2026-09-02T18:58:17.130665+00:00
20010331000075,NO_CANDIDATES,0,1,,2026-09-02T18:58:17.177479+00:00
20010331000168,NO_CANDIDATES,0,1,,2026-09-02T18:58:17.445566+00:00
20010330001390,NO_CANDIDATES,0,1,,2026-09-02T18:58:17.581624+00:00
20010330001354,NO_CANDIDATES,0,1,,2026-09-02T18:58:18.037187+00:00
20010331000678,NO_CANDIDATES,0,1,,2026-09-02T18:58:18.656774+00:00
20010331000134,NO_CANDIDATES,0,1,,2026-09-02T18:58:18.812809+00:00
20010402000116,NO_CANDIDATES,0,1,,2026-09-02T18:58:19.388601+00:00
20010331000683,NO_CANDIDATES,0,1,,2026-09-02T18:58:20.493026+00:00
20010331000813,NO_CANDIDATES,0,1,,2026-09-02T18:58:21.005852+00:00
20010402000213,NO_CANDIDATES,0,1,,2026-09-02T18:58:21.550728+00:00
20010331000656,NO_CANDIDATES,0,1,,2026-09-02T18:58:21.888195+00:00
20010331000727,NO_CANDIDATES,0,1,,2026-09-02T18:58:22.307783+00:00
20010402000236,NO_CANDIDATES,0,1,,2026-09-02T18:58:22.476522+00:00
20010404000346,NO_CANDIDATES,0,1,,2026-09-02T18:58:22.971263+00:00
20010407000266,NO_CANDIDATES,0,1,,2026-09-02T18:58:24.288127+00:00
20010410000785,NO_CANDIDATES,0,1,,2026-09-02T18:58:24.873131+00:00
20010402000048,NO_CANDIDATES,0,1,,2026-09-02T18:58:25.491793+00:00
20010412000474,NO_CANDIDATES,0,1,,2026-09-02T18:58:25.599810+00:00
20010331000778,ERROR,0,0,"RuntimeError('Not a zip for 20010331000778: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",2026-09-02T18:58:26.202466+00:00
20010402000448,ERROR,0,0,"RuntimeError('Not a zip for 20010402000448: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",2026-09-02T18:58:26.234803+00:00
20010413000264,NO_CANDIDATES,0,1,,2026-09-02T18:58:26.556575+00:00
20010424000002,NO_CANDIDATES,0,1,,2026-09-02T18:58:27.150357+00:00
20010426000181,NO_CANDIDATES,0,1,,2026-09-02T18:58:27.169418+00:00
20010404000252,NO_CANDIDATES,0,1,,2026-09-02T18:58:27.801879+00:00
20010428000106,NO_CANDIDATES,0,1,,2026-09-02T18:58:29.841312+00:00
