corp_code,stock_code,status,reports_found,error,updated_at_utc
00165361,036840,OK,47,,2026-09-03T18:42:22.794233+00:00
00144395,026960,OK,60,,2026-09-03T18:42:22.794233+00:00
00123781,026940,OK,60,,2026-09-03T18:42:22.794233+00:00
00117498,026890,OK,60,,2026-09-03T18:42:22.794233+00:00
00112907,026870,OK,60,,2026-09-03T18:42:22.794233+00:00
00207223,026260,OK,60,,2026-09-03T18:42:22.794233+00:00
00127370,026250,OK,60,,2026-09-03T18:42:22.794233+00:00
00113632,026230,OK,47,,2026-09-03T18:42:22.794233+00:00
00133317,026220,OK,60,,2026-09-03T18:42:22.794233+00:00
00104120,026910,OK,60,,2026-09-03T18:42:22.794233+00:00
00161781,025980,OK,60,,2026-09-03T18:42:22.794233+00:00
00121969,023960,OK,60,,2026-09-03T18:42:22.794233+00:00
00117258,027390,OK,60,,2026-09-03T18:42:22.794233+00:00
00116408,025950,OK,60,,2026-09-03T18:42:22.794233+00:00
00207542,025930,OK,60,,2026-09-03T18:42:22.794233+00:00
00173032,025900,OK,60,,2026-09-03T18:42:22.794233+00:00
00186939,026150,OK,61,,2026-09-03T18:42:22.794233+00:00
00141440,036600,OK,17,,2026-09-04T18:27:01.018799+00:00
00267720,054530,OK,12,,2026-09-04T18:27:01.018799+00:00
00252135,036930,OK,60,,2026-09-04T18:27:01.018799+00:00
00231354,037030,OK,39,,2026-09-04T18:27:01.018799+00:00
00248691,037150,OK,40,,2026-09-04T18:27:01.018799+00:00
00247939,037600,OK,12,,2026-09-04T18:27:01.018799+00:00
00246815,037650,OK,17,,2026-09-04T18:27:01.018799+00:00
00248053,037640,OK,36,,2026-09-04T18:27:01.018799+00:00
00265263,037700,OK,44,,2026-09-04T18:27:01.018799+00:00
00141246,016250,OK,60,,2026-09-04T18:27:01.018799+00:00
00141389,036560,OK,60,,2026-09-04T18:27:01.018799+00:00
00121507,001810,OK,60,,2026-09-04T18:27:01.018799+00:00
00231664,041190,OK,60,,2026-09-04T18:27:01.018799+00:00
00265227,037630,OK,60,,2026-09-04T18:27:01.018799+00:00
00261009,036620,OK,56,,2026-09-04T18:27:01.018799+00:00
00154693,036900,OK,21,,2026-09-04T18:27:01.018799+00:00
00297970,037510,NO_REPORTS,0,,2026-09-04T18:27:01.018799+00:00
00259855,039990,OK,34,,2026-09-04T18:27:01.018799+00:00
00268002,036630,OK,60,,2026-09-04T18:27:01.018799+00:00
00261054,037370,OK,60,,2026-09-04T18:27:01.018799+00:00
00148595,038010,OK,60,,2026-09-04T18:27:01.018799+00:00
00259916,035780,OK,16,,2026-09-04T18:27:01.018799+00:00
00260921,038100,OK,17,,2026-09-04T18:27:01.018799+00:00
00268118,036690,OK,60,,2026-09-04T18:27:01.018799+00:00
00216498,037350,OK,60,,2026-09-04T18:27:01.018799+00:00
00223434,036810,OK,60,,2026-09-04T18:27:01.018799+00:00
00207755,028150,OK,60,,2026-09-04T18:27:01.018799+00:00
00237260,036270,OK,34,,2026-09-04T18:27:01.018799+00:00
00164195,037380,OK,44,,2026-09-04T18:27:01.018799+00:00
00261355,038390,OK,60,,2026-09-04T18:27:01.018799+00:00
00236863,037440,OK,60,,2026-09-04T18:27:01.018799+00:00
00261373,038290,OK,60,,2026-09-04T18:27:01.018799+00:00
00277727,037500,NO_REPORTS,0,,2026-09-04T18:27:01.018799+00:00
00247975,036830,OK,60,,2026-09-04T18:27:01.018799+00:00
00152127,036710,OK,60,,2026-09-04T18:27:01.018799+00:00
00257529,041030,OK,37,,2026-09-04T18:27:01.018799+00:00
00261045,037280,OK,8,,2026-09-04T18:27:01.018799+00:00
00264714,040610,OK,60,,2026-09-04T18:27:01.018799+00:00
00130000,008030,OK,17,,2026-09-04T18:27:01.018799+00:00
00217743,039610,OK,60,,2026-09-04T18:27:01.018799+00:00
00226352,032500,OK,60,,2026-09-04T18:27:01.018799+00:00
