Date,60/40 비용전,60/40 비용후(5bp),S&P500 100%
2022-12-01,-0.13483978551461073,-0.13489721282785916,-0.13734961321620098
2022-12-02,-0.1347336590914643,-0.13479109344913676,-0.13834480826675888
2022-12-05,-0.14756941558464987,-0.14762599793480213,-0.15384528688781973
2022-12-06,-0.15278585173954873,-0.1528420878348593,-0.16604250279945287
2022-12-07,-0.1506100216555798,-0.1506664021774068,-0.1674612905584587
2022-12-08,-0.14866273455265155,-0.1487192443308457,-0.16093915778852141
2022-12-09,-0.15499989385834212,-0.15505598299071088,-0.16720722998544835
2022-12-12,-0.14827799337176895,-0.14833452868818353,-0.15520052555640917
2022-12-13,-0.14133634226797576,-0.1413933383549686,-0.14880555886163216
2022-12-14,-0.14365571428124735,-0.14371255641374614,-0.15424762867180153
2022-12-15,-0.15541025251624152,-0.1554663144099614,-0.17493625231867616
2022-12-16,-0.16214573605120353,-0.16220135085926646,-0.18467705146614066
2022-12-19,-0.1691228258597507,-0.16917797754489683,-0.1915906629276808
2022-12-20,-0.1709631209963629,-0.1710181505270184,-0.19048446065187652
2022-12-21,-0.16326612196581913,-0.16332166240528345,-0.17838019207440992
2022-12-22,-0.17041540954182588,-0.17047047542828786,-0.19010146875119427
2022-12-23,-0.16916853872968496,-0.16922368738051785,-0.18544289947884984
2022-12-26,-0.16916853872968496,-0.16922368738051785,-0.18544289947884984
2022-12-27,-0.17395656552787575,-0.17401139636067875,-0.18865511589527728
2022-12-28,-0.18082720305685795,-0.1808815778327979,-0.19873837402998518
2022-12-29,-0.17050204774034017,-0.17055710787596123,-0.18431531048992478
2022-12-30,-0.1732045032220716,-0.17325938397501295,-0.1864638943738075
2023-01-02,-0.1732045032220716,-0.17326660101277247,-0.1864638943738075
2023-01-03,-0.17270305623265636,-0.17276519168533078,-0.18988875582355114
2023-01-04,-0.16633433835791744,-0.16639695214327654,-0.18363453406940733
2023-01-05,-0.1724993383596919,-0.17256148911292146,-0.1929520799800607
2023-01-06,-0.15689787832983204,-0.15696120085552923,-0.17444476528286013
2023-01-09,-0.15632010685668496,-0.15638347277682751,-0.17491276088140695
