Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
1995-12-05,107.05,1.0,1.53,0.0144999999999999,105.55,107.05,105.55,8882530.0,181328154700.0,
1995-12-06,107.77,1.0,0.72,0.0067,107.15,108.43,107.15,10075210.0,209287002600.0,
1995-12-07,108.74,1.0,0.97,0.009,107.82,109.28,107.82,10993870.0,316686763500.0,
1995-12-08,108.52,2.0,-0.22,-0.002,108.75,109.08,107.98,9435070.0,249197665600.0,
1995-12-09,108.88,1.0,0.36,0.0033,108.5,108.88,108.16,6882200.0,199068088200.0,
1995-12-11,106.76,2.0,-2.12,-0.0195,108.88,109.07,106.76,9811440.0,277811005300.0,
1995-12-12,106.28,2.0,-0.48,-0.0045,106.77,106.92,105.69,7560130.0,190833129000.0,
1995-12-13,104.75,2.0,-1.53,-0.0144,106.27,107.27,104.75,10014230.0,282520461000.0,
1995-12-14,102.48,2.0,-2.27,-0.0217,104.73,104.73,102.48,9928420.0,211296078200.0,
1995-12-15,101.39,2.0,-1.09,-0.0106,102.44,102.63,101.12,9078930.0,225300907700.0,
1995-12-16,99.57,2.0,-1.82,-0.018,101.32,101.32,99.57,6638910.0,134310622200.0,
1995-12-18,97.69,2.0,-1.88,-0.0189,99.46,100.16,97.69,9074720.0,178629476200.0,
1995-12-19,100.6,1.0,2.91,0.0298,97.68,100.91,97.48,11321500.0,233191787300.0,
1995-12-20,100.74,1.0,0.14,0.0014,100.6,101.74,100.12,11380750.0,251859469600.0,
1995-12-21,101.71,1.0,0.97,0.0096,100.66,101.71,100.4,13799590.0,318871632000.0,
1995-12-22,101.0,2.0,-0.71,-0.0069999999999999,101.73,102.1,100.7,10031090.0,269585225300.0,
1995-12-23,100.83,2.0,-0.17,-0.0017,101.03,101.58,100.82,6597050.0,181366286000.0,
1995-12-26,99.05,2.0,-1.78,-0.0177,100.83,101.02,99.05,12757950.0,244849322300.0,
1995-12-27,100.01,1.0,0.96,0.0097,99.03,100.03,98.76,13165220.0,287504534900.0,
1996-01-03,100.66,1.0,0.65,0.0065,99.97,100.84,99.79,5291300.0,131634840900.0,
1996-01-04,97.15,2.0,-3.51,-0.0349,100.59,100.85,97.15,10957340.0,268113240900.0,
1996-01-05,97.13,2.0,-0.02,-0.0002,97.03,97.13,95.41,10371690.0,209412595700.0,
1996-01-06,97.21,1.0,0.08,0.0008,97.12,97.75,97.12,6317930.0,130535085300.0,
1996-01-08,98.21,1.0,1.0,0.0103,97.08,99.42,96.36,10430800.0,204627054800.0,
1996-01-09,100.04,1.0,1.83,0.0186,98.29,100.17,98.29,12135940.0,241701553800.0,
1996-01-10,100.4,1.0,0.36,0.0036,100.04,100.4,98.7,12370590.0,282872643000.0,
1996-01-11,100.03,2.0,-0.37,-0.0037,100.34,101.37,100.03,14547880.0,301378896500.0,
1996-01-12,99.28,2.0,-0.75,-0.0075,99.99,100.26,99.26,10940360.0,227259008400.0,
1996-01-13,98.69,2.0,-0.59,-0.0059,99.23,99.52,98.64,6543300.0,142456021200.0,
1996-01-15,97.7,2.0,-0.99,-0.01,98.6,99.2,97.66,8806320.0,181314433200.0,
1996-01-16,98.18,1.0,0.48,0.0049,97.64,98.97,97.17,10446900.0,200412145300.0,
1996-01-17,96.92,2.0,-1.26,-0.0128,98.01,98.43,96.84,9573120.0,183514317900.0,
1996-01-18,96.11,2.0,-0.81,-0.0084,96.88,96.88,95.56,9350270.0,192976152600.0,
1996-01-19,95.9,2.0,-0.21,-0.0022,95.88,96.51,95.3,9379490.0,167832204400.0,
1996-01-20,95.26,2.0,-0.64,-0.0067,95.9,95.93,94.54,5770900.0,106448390400.0,
1996-01-22,95.17,2.0,-0.09,-0.0009,95.24,96.02,94.83,9343730.0,160149017100.0,
1996-01-23,96.17,1.0,1.0,0.0105,95.15,96.5,95.15,11408750.0,188401870000.0,
1996-01-24,98.04,1.0,1.87,0.0194,96.18,98.05,96.18,11523060.0,212424076100.0,
1996-01-25,98.3,1.0,0.26,0.0027,98.05,98.46,97.63,11905660.0,228942442700.0,
1996-01-26,98.14,2.0,-0.16,-0.0016,98.33,98.81,98.02,13379930.0,234615395700.0,
1996-01-27,97.76,2.0,-0.38,-0.0039,98.13,98.27,97.61,6079750.0,109968672800.0,
1996-01-29,98.57,1.0,0.81,0.0083,97.74,99.22,97.74,13089180.0,262443568800.0,
1996-01-30,98.78,1.0,0.21,0.0021,98.56,99.51,98.56,12214250.0,266700308500.0,
1996-01-31,99.02,1.0,0.24,0.0024,98.77,99.02,98.61,11620270.0,265893819000.0,
1996-02-01,99.61,1.0,0.59,0.006,99.07,100.31,99.07,18065680.0,406625947600.0,
1996-02-02,99.36,2.0,-0.25,-0.0025,99.61,99.97,99.05,16038010.0,368351906200.0,
1996-02-03,99.75,1.0,0.39,0.0039,99.36,100.22,99.36,8205170.0,187101149200.0,
1996-02-05,100.62,1.0,0.87,0.0087,99.77,100.79,99.76,14111550.0,263620096100.0,
1996-02-06,99.41,2.0,-1.21,-0.012,100.63,101.09,99.3,15079710.0,291217029400.0,
1996-02-07,99.75,1.0,0.34,0.0034,99.42,99.91,99.19,12222510.0,227281504300.0,
1996-02-08,100.36,1.0,0.61,0.0060999999999999,99.7,100.56,99.7,18284450.0,320151807100.0,
1996-02-09,99.58,2.0,-0.78,-0.0078,100.36,100.86,99.55,16122760.0,307137703200.0,
1996-02-10,98.67,2.0,-0.91,-0.0091,99.38,99.38,98.65,7590810.0,160952329300.0,
1996-02-12,97.64,2.0,-1.03,-0.0104,98.64,98.91,97.61,10473240.0,224302489000.0,
1996-02-13,96.86,2.0,-0.78,-0.008,97.53,97.53,96.28,10209930.0,219484392400.0,
1996-02-14,97.87,1.0,1.01,0.0104,96.91,97.87,96.42,10641830.0,222883155400.0,
1996-02-15,97.97,1.0,0.1,0.001,97.89,98.42,97.77,15691990.0,254204483200.0,
1996-02-16,99.18,1.0,1.21,0.0124,97.98,99.35,97.98,20075150.0,308095884200.0,
1996-02-17,100.49,1.0,1.31,0.0132,99.21,100.49,99.21,9955380.0,179337159300.0,
1996-02-21,99.75,2.0,-0.74,-0.0074,100.49,100.72,99.75,11224710.0,204016774500.0,
1996-02-22,99.67,2.0,-0.08,-0.0008,99.72,99.88,99.14,10732350.0,226520481200.0,
1996-02-23,98.94,2.0,-0.73,-0.0073,99.69,99.85,98.94,11018180.0,233697430400.0,
1996-02-24,97.9,2.0,-1.04,-0.0105,99.05,99.05,97.82,6272410.0,117657276300.0,
1996-02-26,96.89,2.0,-1.01,-0.0103,97.95,100.0,96.89,14146390.0,255196526000.0,
