Date,Open,High,Low,Close,Volume,Change,Amount,MarCap
2018-06-05,1482.16,1483.57,1461.13,1469.31,61454421,-0.0005,1571832215407,134075293094195
2018-06-07,1477.4,1492.68,1471.24,1492.68,71222513,0.0159,1429820904745,136222309183094
2018-06-08,1487.68,1490.13,1467.4,1468.93,51823737,-0.0159,1140503337995,134388587615972
2018-06-11,1467.87,1476.33,1462.31,1466.29,69658613,-0.0018,1294459302784,134273618602793
2018-06-12,1470.4,1489.21,1460.91,1471.96,216894506,0.0039,1751048329594,134839553876811
2018-06-14,1471.68,1475.35,1445.77,1456.21,320946366,-0.0107,2507354241060,133657947237680
2018-06-15,1459.13,1463.17,1451.87,1458.09,193486574,0.0013,2436856263976,143393624617800
2018-06-18,1457.32,1462.18,1393.52,1410.23,116012505,-0.0327999999999999,1988492224815,138854514982915
2018-06-19,1410.16,1419.42,1362.66,1362.67,123979900,-0.0337,2231896678805,134381044328362
2018-06-20,1379.09,1419.74,1372.99,1419.74,103877192,0.0419,1786916203843,139938827906385
2018-06-21,1419.72,1421.57,1387.99,1387.99,73443359,-0.0224,1477737472832,136937435635556
2018-06-22,1385.19,1406.04,1370.92,1406.04,76250801,0.013,1384171879934,138746560315985
2018-06-25,1408.88,1418.15,1396.07,1416.08,48255892,0.0070999999999999,1077666663994,139599000983920
2018-06-26,1394.25,1415.54,1382.69,1410.82,53383204,-0.0037,1150857856810,138973888172233
2018-06-27,1411.34,1428.07,1399.86,1399.86,58953153,-0.0078,1293609724923,138055036998540
2018-06-28,1392.68,1400.82,1369.93,1370.02,51778172,-0.0213,933799227406,132206313445306
2018-06-29,1385.13,1394.83,1360.82,1391.83,66972904,0.0159,1122517368611,134148655827019
2018-07-02,1390.29,1393.97,1338.12,1338.12,68432736,-0.0385999999999999,1249895346114,129306823295308
2018-07-03,1354.77,1365.73,1324.29,1351.83,71355439,0.0102,1366767376963,130843942525671
2018-07-04,1351.99,1365.25,1341.6,1356.66,46309752,0.0036,1005265346195,131207895453384
2018-07-05,1356.22,1360.87,1328.98,1360.62,44692352,0.0029,1147964311470,131337505369319
2018-07-06,1361.77,1393.98,1341.97,1390.65,72205397,0.0220999999999999,1238146759846,134109178084425
2018-07-09,1386.97,1404.33,1382.37,1392.42,48745200,0.0013,1018728302800,134343493581066
2018-07-10,1405.13,1405.65,1389.42,1390.36,51454199,-0.0015,946038947447,134006745040330
2018-07-11,1377.48,1379.99,1354.93,1357.27,55203688,-0.0237999999999999,1044834002018,130943178773016
2018-07-12,1361.17,1385.89,1357.32,1383.69,54838892,0.0195,1095063232778,133602906024814
2018-07-13,1381.75,1400.57,1381.15,1399.04,57741830,0.0111,1086912756795,134947997795974
2018-07-16,1403.25,1407.02,1388.64,1392.2,42632796,-0.0049,879260299601,134578308017825
2018-07-17,1394.28,1396.19,1372.97,1374.65,51365408,-0.0126,1031696456387,132962882803591
2018-07-18,1383.31,1390.13,1355.91,1360.8,62995361,-0.0101,1289648515200,136134779150113
