Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
1997-03-21,1154.4,2.0,-4.8,-0.0040999999999999,1159.2,1160.1,1150.2,85630,2120342100,7356839124380.0
1997-03-22,1158.8,1.0,4.4,0.0038,1154.4,1158.8,1153.3,37013,704964050,7386202203380.0
1997-03-24,1160.4,1.0,1.6,0.0014,1158.8,1160.4,1153.4,101565,1710471910,7398300936200.0
1997-03-25,1172.6,1.0,12.2,0.0105,1160.3,1172.6,1157.2,77243,2119570860,7479697129300.0
1997-03-26,1193.8,1.0,21.2,0.0181,1172.6,1193.8,1171.2,136703,1629507960,7618691080740.0
1997-03-27,1198.2,1.0,4.4,0.0037,1192.5,1202.4,1192.5,51287,872228980,7648646838140.0
1997-03-28,1194.8,2.0,-3.4,-0.0028,1198.2,1202.5,1189.4,65946,871723880,7633225521700.0
1997-03-29,1202.3,1.0,7.5,0.0063,1193.4,1202.3,1193.4,93066,2049872090,7684440992100.0
1997-03-31,1204.7,1.0,2.4,0.002,1202.1,1214.5,1199.4,57895,1131404700,7708423862050.0
1997-04-01,1215.2,1.0,10.5,0.0087,1204.7,1215.2,1204.7,150937,3653335500,7781055820710.0
1997-04-02,1212.2,2.0,-3.0,-0.0025,1215.2,1215.3,1205.4,68347,1734767920,7767298755550.0
1997-04-03,1219.3,1.0,7.1,0.0059,1212.2,1219.3,1208.0,640917,4960456910,7818963883510.0
1997-04-04,1218.4,2.0,-0.9,-0.0007,1219.2,1219.2,1211.4,136274,2224150750,7822263594150.0
1997-04-07,1226.5,1.0,8.1,0.0066,1218.4,1226.5,1217.7,69484,1120064110,7881195916690.0
1997-04-08,1228.1,1.0,1.6,0.0013,1226.7,1233.1,1223.6,112517,2625994140,7897132128990.0
1997-04-09,1233.0,1.0,4.9,0.004,1228.1,1236.6,1226.1,64833,1408741020,7957391046690.0
1997-04-10,1232.6,2.0,-0.4,-0.0003,1233.0,1234.8,1226.8,163725,6928876840,7960078836590.0
1997-04-11,1231.3,2.0,-1.3,-0.0011,1232.7,1233.1,1224.8,83522,2573405250,7957684575030.0
1997-04-12,1236.2,1.0,4.9,0.004,1231.3,1236.2,1228.8,74255,1755673960,7997407652090.0
1997-04-14,1230.0,2.0,-6.2,-0.005,1236.2,1236.3,1225.9,87391,2677723080,7965700406590.0
1997-04-15,1229.6,2.0,-0.4,-0.0003,1230.0,1231.0,1226.8,177381,4793900260,7963585648390.0
1997-04-16,1234.9,1.0,5.3,0.0043,1229.6,1234.9,1227.3,156336,9651633440,8070080636790.0
1997-04-17,1236.7,1.0,1.8,0.0015,1234.9,1236.7,1229.4,183250,10949403490,8089762471190.0
1997-04-18,1239.8,1.0,3.1,0.0025,1236.7,1239.8,1232.4,49526,1467435980,8114925269690.0
1997-04-19,1243.8,1.0,4.0,0.0032,1239.8,1244.0,1236.2,21802,758841130,8142928717490.0
1997-04-21,1248.8,1.0,5.0,0.004,1243.8,1248.8,1240.1,58519,1197839060,8172193956290.0
1997-04-22,1250.0,1.0,1.2,0.001,1248.8,1250.0,1242.0,52655,2056622820,8298039467690.0
1997-04-23,1248.7,2.0,-1.3,-0.001,1250.0,1250.0,1241.0,130512,3524141620,8331126184590.0
1997-04-24,1248.7,3.0,0.0,0.0,1248.7,1250.0,1242.7,56721,2384787820,8341222092690.0
1997-04-25,1251.4,1.0,2.7,0.0022,1248.7,1254.4,1243.0,180098,7894848010,8360674639370.0
1997-04-26,1251.9,1.0,0.5,0.0004,1251.4,1253.4,1247.9,76059,3865169350,8370745359790.0
1997-04-28,1253.7,1.0,1.8,0.0014,1251.9,1253.7,1247.8,95360,3377053460,8391564575030.0
1997-04-29,1258.2,1.0,4.5,0.0036,1253.7,1259.2,1252.8,236364,8654144460,8418368405590.0
1997-04-30,1252.9,2.0,-5.3,-0.0042,1258.2,1259.9,1252.9,171190,6186595700,8372243530630.0
1997-05-02,1247.9,2.0,-5.0,-0.004,1252.9,1254.2,1246.9,95045,3547116870,8396019970350.0
1997-05-03,1251.0,1.0,3.1,0.0025,1247.9,1256.9,1247.9,70141,2092424430,8409012869310.0
1997-05-06,1240.9,2.0,-10.1,-0.0081,1251.3,1251.9,1240.9,102161,3152651850,8321920058090.0
1997-05-07,1241.8,1.0,0.9,0.0007,1240.9,1244.7,1240.1,238090,7788115900,8346862430950.0
1997-05-08,1236.5,2.0,-5.3,-0.0043,1241.8,1243.7,1236.5,151384,3031338400,8320829266030.0
1997-05-09,1239.9,1.0,3.4,0.0027,1236.5,1241.0,1236.0,165997,5403513410,8351328172990.0
1997-05-10,1238.8,2.0,-1.1,-0.0009,1239.9,1242.6,1236.9,56946,2017388690,8352025692330.0
1997-05-12,1237.4,2.0,-1.4,-0.0011,1238.8,1246.8,1237.4,100688,2174783740,8341925104050.0
1997-05-13,1245.6,1.0,8.2,0.0066,1237.4,1248.2,1237.4,152053,5597031770,8400550306410.0
1997-05-15,1254.5,1.0,8.9,0.0070999999999999,1245.6,1256.6,1245.4,110351,3112346380,8455024103590.0
1997-05-16,1255.8,1.0,1.3,0.001,1254.5,1266.5,1252.6,132605,3426653160,8484381697850.0
1997-05-17,1251.3,2.0,-4.5,-0.0036,1255.8,1259.1,1246.0,69030,2468065500,8450047313590.0
1997-05-19,1259.9,1.0,8.6,0.0069,1251.3,1260.4,1251.3,98228,2915375280,8503673283990.0
1997-05-20,1268.8,1.0,8.9,0.0070999999999999,1259.9,1268.8,1257.2,232260,4047141570,8551510185530.0
1997-05-21,1285.5,1.0,16.7,0.0132,1268.8,1285.5,1266.5,214310,7109776490,8660967396730.0
1997-05-22,1299.5,1.0,14.0,0.0109,1285.5,1299.5,1284.0,175216,5820542620,8737833329910.0
1997-05-23,1292.7,2.0,-6.8,-0.0052,1299.5,1300.1,1282.2,140332,3650248960,8690417996530.0
1997-05-24,1302.0,1.0,9.3,0.0072,1292.7,1303.9,1291.6,47666,1378482240,8746891363810.0
1997-05-26,1298.2,2.0,-3.8,-0.0029,1302.0,1302.9,1290.4,152303,5332443920,8723388723670.0
1997-05-27,1303.0,1.0,4.8,0.0037,1298.2,1303.0,1293.9,99375,3545642880,8759032033410.0
1997-05-28,1307.5,1.0,4.5,0.0034999999999999,1303.0,1308.8,1298.4,142401,4088986250,8797958872210.0
