Code,Name,Market,Marcap,Amount,Volume,Close,fs_div,equity,revenue_q,net_income_q,ocf_q,EY,EY_rank,BY,BY_rank,CFY,CFY_rank,SY,SY_rank,avg_rank,overall_rank,signal_date,target_weight
039240,경남스틸,KOSDAQ,43750000000.0,25251050.0,14595.0,1750.0,OFS,86029592984.0,82960674771.0,1753439168.0,4071599234.0,0.16031443821714286,273.0,1.966390696777143,71.0,0.37226050139428574,248.0,7.5849759790628575,89.0,170.25,12,2019-10-31,0.05
054210,이랜텍,KOSDAQ,151919335120.0,5644182900.0,798498.0,6910.0,CFS,162925362801.0,205879354509.0,9948684703.0,15455464367.0,0.2619465045747233,117.0,1.0724465234942373,183.0,0.406938704801251,224.0,5.420754490437372,157.0,170.25,13,2019-10-31,0.05
163560,동일고무벨트,KOSPI,72891000000.0,29690980.0,5420.0,5460.0,CFS,191718691053.0,60522494579.0,3322361584.0,11363768377.0,0.18231944047962026,218.0,2.630210740050212,32.0,0.6236033736400928,114.0,3.321260214786462,318.0,170.5,14,2019-10-31,0.05
015230,대창단조,KOSPI,81859438950.0,90449200.0,3163.0,28650.0,CFS,184803613960.0,77994450886.0,5081158627.0,7031953435.0,0.24828699987077055,127.0,2.2575724477280943,48.0,0.3436111229296423,273.0,3.81114026122946,260.0,177.0,15,2019-10-31,0.05
042670,두산인프라코어,KOSPI,1176111226350.0,23382354660.0,4103542.0,5650.0,CFS,95587429886.0,2199966821194.0,239409227900.0,226804981851.0,0.8142400906859603,12.0,0.08127414120741847,539.0,0.7713725599061833,81.0,7.482172678587492,92.0,181.0,16,2019-10-31,0.05
058650,세아홀딩스,KOSPI,324800000000.0,59213900.0,728.0,81200.0,CFS,7570979178.0,1311470622558.0,29589006801.0,203330772340.0,0.36439663548029555,62.0,0.023309664956896552,653.0,2.504073550985222,7.0,16.15111604135468,13.0,183.75,17,2019-10-31,0.05
000300,대유플러스,KOSPI,80984128240.0,61991959.0,80642.0,769.0,CFS,8818207775.0,156182259373.0,4992631089.0,23580546810.0,0.2465980037077942,129.0,0.1088880990219078,512.0,1.1646996675752572,44.0,7.714215749048853,86.0,192.75,18,2019-10-31,0.05
024840,KBI메탈,KOSDAQ,49426272000.0,141296150.0,94871.0,1500.0,CFS,86355885423.0,114393512022.0,1532925392.0,4928387289.0,0.12405753701189522,397.0,1.7471656657212584,92.0,0.3988475836494405,229.0,9.257709100293868,64.0,195.5,19,2019-10-31,0.05
002870,신풍제지,KOSPI,47194245000.0,92443140.0,68663.0,1350.0,CFS,55110117953.0,39473403357.0,2880331738.0,5542587589.0,0.24412567574711705,132.0,1.1677296236649193,166.0,0.4697680904949322,197.0,3.345611597939537,316.0,202.75,20,2019-10-31,0.05
084690,대상홀딩스,KOSPI,230673867060.0,564003440.0,88938.0,6370.0,CFS,1209302819861.0,886013013383.0,47892493924.0,78963156325.0,0.830479751077183,11.0,5.242478635633447,3.0,1.3692605466133898,72.0,15.363907922045481,29.0,28.75,1,2020-04-29,0.05
