,최신 K-올웨더 성장형,최신 K-올웨더 성장형,강환국 정적 원본,강환국 정적 원본,강환국 계절형 원본,강환국 계절형 원본
,CAGR10Y,MDD10Y,CAGR10Y,MDD10Y,CAGR10Y,MDD10Y
2017-05-31,0.09496251363217167,-0.0768205859192942,0.07795953983645765,-0.0497498918691055,0.08643805128250182,-0.06521538732694976
2017-06-30,0.09948246218853307,-0.0768205859192942,0.08092527755913581,-0.04974989186910572,0.08975925903636517,-0.06521538732694976
2017-07-31,0.0960170965881153,-0.07682058591929408,0.07838428919562057,-0.04974989186910572,0.0874365037609357,-0.06521538732694965
2017-08-31,0.09285694483345797,-0.07682058591929408,0.0769698273229753,-0.04974989186910561,0.08572039096674722,-0.06521538732694954
2017-09-30,0.09043090029606082,-0.0768205859192942,0.07596169466251279,-0.0497498918691055,0.08487307544318434,-0.06521538732694965
2017-10-31,0.08543152663234221,-0.07682058591929408,0.07362499836057834,-0.04974989186910561,0.08212883249860936,-0.06521538732694954
2017-11-30,0.0861944048533303,-0.07682058591929397,0.07366021769062625,-0.04974989186910561,0.08286172750261311,-0.06521538732694954
2017-12-31,0.08240822765074385,-0.07682058591929408,0.07188068037841955,-0.04974989186910561,0.08131097925790276,-0.06521538732694965
2018-01-31,0.08697367122053046,-0.07682058591929408,0.07327095337803624,-0.04974989186910561,0.08535333019562907,-0.06521538732694976
2018-02-28,0.08247829220261971,-0.07682058591929408,0.06924417508495107,-0.04974989186910561,0.08075188205532102,-0.06521538732694965
2018-03-31,0.07982902976121697,-0.07682058591929408,0.06700719236624009,-0.04974989186910561,0.07841394942678948,-0.06521538732694965
2018-04-30,0.07780404730834078,-0.07682058591929408,0.06540393626661456,-0.0497498918691055,0.07638162685779704,-0.06521538732694976
2018-05-31,0.07832189059596484,-0.07682058591929408,0.06430449596009313,-0.04974989186910561,0.07580906152034039,-0.06521538732694965
2018-06-30,0.0824685407940795,-0.07682058591929408,0.06793905259794908,-0.046246068026636666,0.07881638852922723,-0.06521538732694965
2018-07-31,0.08683442985466017,-0.07682058591929408,0.07093745898597215,-0.046246068026636555,0.0812308977740992,-0.06521538732694954
2018-08-31,0.08445391574972438,-0.07682058591929408,0.07034863924087098,-0.046246068026636666,0.0800776016155611,-0.06521538732694965
2018-09-30,0.07730172282837477,-0.07682058591929408,0.06501021255718231,-0.046246068026636666,0.07369996428514813,-0.06521538732694976
2018-10-31,0.08381486040280883,-0.07034015648428404,0.06844922188928249,-0.046029422507974704,0.07609721412105652,-0.06521538732694987
2018-11-30,0.06948377765399871,-0.07034015648428382,0.06041838307652592,-0.04602942250797459,0.07105539813626427,-0.06521538732694976
2018-12-31,0.07365785930593605,-0.07034015648428404,0.06054646926608909,-0.04602942250797448,0.07026352926726642,-0.06521538732694943
2019-01-31,0.07164420002492622,-0.07034015648428404,0.05933821721022614,-0.04602942250797459,0.07074057258088251,-0.06521538732694954
2019-02-28,0.07076333236442833,-0.07034015648428416,0.061347400185839396,-0.04602942250797459,0.07351167402751324,-0.06521538732694931
2019-03-31,0.07716701968020412,-0.07034015648428416,0.06308044663439949,-0.04602942250797459,0.0736907505154274,-0.06521538732694965
2019-04-30,0.08234968148170374,-0.07034015648428416,0.06522735421176318,-0.04602942250797459,0.07500682290090688,-0.06521538732694976
2019-05-31,0.07715928112407222,-0.07034015648428393,0.0633401961873803,-0.04602942250797459,0.07558631091999479,-0.06521538732694965
2019-06-30,0.07877535311356643,-0.07034015648428416,0.06725033360343824,-0.046029422507974704,0.07919442712553404,-0.06521538732694954
2019-07-31,0.07834802465945656,-0.07034015648428393,0.06485557326518121,-0.046029422507974815,0.07883545877647125,-0.06521538732694987
2019-08-31,0.0830081584905169,-0.07034015648428416,0.0657098817416728,-0.046029422507974704,0.08110301140847676,-0.06521538732694965
2019-09-30,0.08216054482859181,-0.07034015648428416,0.06403687660077906,-0.046029422507974704,0.07936056715760897,-0.06521538732694965
