,전략(비용전),전략(비용후),정적4자산25%
2009-05-31,1.824805348745344,1.8153900891964252,3.0116331453848226
2009-06-30,1.8303434187302081,1.8208995849739946,3.021806438538907
2009-07-31,1.8376127312860948,1.8281313908092314,3.19237761311814
2009-08-31,1.8485340550443172,1.8389963649420693,3.257667619475202
2009-09-30,1.8679984901617894,1.8583603714254793,3.3746131043683127
2009-10-31,1.852581413059082,1.843022840222014,3.2789581295937005
2009-11-30,1.8685197651308703,1.8588789568259803,3.3484218015179903
2009-12-31,1.8424468155709866,1.8329405331690818,3.4036842767125552
2010-01-31,1.8069293832080473,1.796291244018173,3.3660615856754434
2010-02-28,1.8243702479701192,1.8136294272097004,3.402472643704814
2010-03-31,1.8893648335086142,1.8782413627929884,3.512535819712905
2010-04-30,1.9156631373669488,1.9043848376804167,3.5941293791001185
2010-05-31,1.8432048408767923,1.8323531330929026,3.5012833903911735
2010-06-30,1.8370998793164712,1.8262841139614507,3.547256065201041
2010-07-31,1.8900758187927713,1.8789481622132789,3.641021805936425
2010-08-31,1.886257846560194,1.875152667959316,3.7350153811340494
2010-09-30,1.9674769713896856,1.9558936222732106,3.867669085237425
2010-10-31,1.9824272163627488,1.9707558489825696,3.842739356394974
2010-11-30,1.9994717768347186,1.9877000610909474,3.858493518651134
2010-12-31,2.0763358615839453,2.0641116152433154,3.962700060885367
2011-01-31,2.0778126864183104,2.065231624156798,3.9458920187008792
2011-02-28,2.0723983019643004,2.059850023556871,3.9456143486680557
2011-03-31,2.126347477638963,2.1134725394019176,4.055741579235324
2011-04-30,2.1715643797200466,2.158415655176818,4.153753591824802
2011-05-31,2.1755377305596744,2.1623649475560143,4.1870752091149805
2011-06-30,2.1458193236944627,2.1328264843062823,4.119292918573776
2011-07-31,2.1583856008990594,2.1453166732682094,4.17106768845331
2011-08-31,2.1090645056111637,2.09629421499157,4.141330749990186
2011-09-30,2.0840814379973494,2.0714624187272803,4.165910307712739
2011-10-31,2.165338926862704,2.152227897156222,4.297643203669539
2011-11-30,2.158756434322495,2.1456852613119635,4.30118317192908
2011-12-31,2.1731838872716818,2.1600253566831475,4.35061371092941
2012-01-31,2.1925526452605477,2.1783037400478724,4.497503502428627
2012-02-29,2.192147720062057,2.177901446366935,4.565723498080248
