Date,NAV_Gross,NAV_Net,Drawdown_Net,Turnover,Cost
2010-05-07,12813.284713737427,12809.675614266256,-0.010407899045020153,0.0,0.0
2010-05-10,12859.370739684662,12855.748659228866,-0.006848595692235393,0.0,0.0
2010-05-11,12862.084877415497,12858.462032472431,-0.006638978149244412,0.0,0.0
2010-05-12,12884.119494251916,12880.490442850027,-0.004937206647553483,0.0,0.0
2010-05-13,12860.969994609746,12857.347463694116,-0.006725082473210575,0.0,0.0
2010-05-14,12871.630228272432,12868.004694704121,-0.005901774222234368,0.0,0.0
2010-05-17,12817.613372177104,12814.003053458937,-0.010073589280167772,0.0,0.0
2010-05-18,12861.937320733254,12858.314517352264,-0.006650374206575105,0.0,0.0
2010-05-19,12828.853334529662,12825.23984986747,-0.009205507581554029,0.0,0.0
2010-05-20,12799.234583261219,12795.629441270086,-0.011493014879661256,0.0,0.0
2010-05-21,12860.51256415999,12856.890162088137,-0.006760410616612256,0.0,0.0
2010-05-24,12808.293164800667,12804.685471291905,-0.010793404987462063,0.0,0.0
2010-05-25,12843.735405409549,12840.117728935864,-0.008056139553166974,0.0,0.0
2010-05-26,12820.470694548849,12816.859571012803,-0.009852913340146596,0.0,0.0
2010-05-27,12820.136745149517,12816.525715676518,-0.009878704828830354,0.0,0.0
2010-05-28,12802.466831923744,12798.860779509781,-0.011243382734882013,0.0,0.0
2010-06-01,12775.961851266342,12772.36326447215,-0.01329040815268201,0.0,0.0
2010-06-02,12813.780724898952,12810.171485717034,-0.0103695912466375,0.0,0.0
2010-06-03,12773.20083920833,12769.603030104432,-0.013503645880890813,0.0,0.0
2010-06-04,12801.41245426036,12797.806698831439,-0.01132481414223907,0.0,0.0
2010-06-07,12828.758471779904,12825.14501383757,-0.00921283399550088,0.0,0.0
2010-06-08,12834.416483467463,12830.801431841117,-0.008775855984146985,0.0,0.0
2010-06-09,12809.61468576433,12806.006620024662,-0.010691341641793417,0.0,0.0
2010-06-10,12794.759937676008,12791.156056051863,-0.01183859948381405,0.0,0.0
2010-06-11,12903.268485982164,12899.634040911325,-0.003458296954928608,0.0,0.0
2010-06-14,12866.601116709779,12862.97699968409,-0.006290181191126898,0.0,0.0
2010-06-15,12945.465352492687,12941.819021891166,-0.0001993601001893941,0.0,0.0
2010-06-16,12976.84004614671,12973.184878280366,0.0,0.0,0.0
2010-06-17,13050.20732812396,13046.531495000854,0.0,0.0,0.0
2010-06-18,13047.588318723654,13043.913223293157,-0.0002006871871425009,0.0,0.0
2010-06-21,12995.764383206502,12992.103884949363,-0.004171806895368779,0.0,0.0
2010-06-22,13019.057010577448,13015.389951519468,-0.0023869595910084307,0.0,0.0
2010-06-23,13035.022409526859,13031.350853517926,-0.001163576808805078,0.0,0.0
2010-06-24,12945.00332206333,12941.357121601257,-0.008061481585346808,0.0,0.0
2010-06-25,13012.69908841253,13009.03382018134,-0.002874148951687472,0.0,0.0
2010-06-28,13044.955656493335,13041.28130260102,-0.0004024205515347212,0.0,0.0
2010-06-29,12983.999246849253,12980.342062461146,-0.0050733355884718945,0.0,0.0
2010-06-30,12998.824034267152,12995.162674202502,-0.003937354600188958,0.0,0.0
2010-07-01,12940.231005938896,12936.586149688239,-0.008427170497748326,0.0,0.0
2010-07-02,12883.197844531735,12879.5690527296,-0.01279745826200862,0.0,0.0
2010-07-06,12942.530769135095,12938.885265113448,-0.008250946232617795,0.0,0.0
2010-07-07,13004.403820265354,13000.74088855041,-0.0035097915846821204,0.0,0.0
2010-07-08,13001.164970700713,12997.502951267867,-0.0037579753478366174,0.0,0.0
2010-07-09,13001.423026993763,12997.760934874572,-0.0037382012334059578,0.0,0.0
2010-07-12,12987.037882082846,12983.379841806725,-0.004840493675911217,0.0,0.0
2010-07-13,13004.634865479531,13000.971868686413,-0.00349208725184158,0.0,0.0
2010-07-14,13068.16202221748,13064.481131821518,0.0,0.0,0.0
2010-07-15,13142.56435905973,13138.86251186459,0.0,0.0,0.0
2010-07-16,13058.334596038463,13054.656473719495,-0.006408929088728699,0.0,0.0
2010-07-19,13030.206863811118,13026.53666419002,-0.008549130305088304,0.0,0.0
2010-07-20,13094.655636187352,13090.96728337326,-0.003645310120878431,0.0,0.0
2010-07-21,13147.801936132266,13144.098613676328,0.0,0.0,0.0
2010-07-22,13173.929286773673,13170.218605064469,0.0,0.0,0.0
2010-07-23,13129.363445821715,13125.665316908815,-0.003382881445758379,0.0,0.0
2010-07-26,13151.668042751167,13147.96363133454,-0.001689795317548537,0.0,0.0
2010-07-27,13064.304255144101,13060.624451359841,-0.008321361777737235,0.0,0.0
2010-07-28,13072.833785488127,13069.151579203326,-0.007673906477321357,0.0,0.0
2010-07-29,13073.631106923056,13069.948676057875,-0.0076133838027591105,0.0,0.0
2010-07-30,13192.95940608574,13189.243364190208,0.0,0.0,0.0
2010-08-02,13206.21674150983,13202.496965439703,0.0,0.0,0.0
2010-08-03,13236.945245107749,13233.216813784222,0.0,0.0,0.0
2010-08-04,13223.811741280653,13220.087009252255,-0.0009921854010802589,0.0,0.0
2010-08-05,13253.834572848054,13250.101384331881,0.0,0.0,0.0
2010-08-06,13312.690084612062,13308.940318348565,0.0,0.0,0.0
2010-08-09,13310.43578230467,13306.68665100726,-0.00016933484465309068,0.0,0.0
2010-08-10,13306.1573622943,13302.409436093298,-0.0004907139185426068,0.0,0.0
2010-08-11,13269.201274972072,13265.463758139018,-0.003266718399030366,0.0,0.0
2010-08-12,13233.370593743097,13229.643169286475,-0.005958186539672505,0.0,0.0
2010-08-13,13302.025966671194,13298.279204154453,-0.0008010490646963575,0.0,0.0
2010-08-16,13466.157737387104,13462.364744110639,0.0,0.0,0.0
