Code,Name,Market,Marcap,Amount,Volume,Close,fs_div,available_date,equity,revenue_q,net_income_q,ocf_q,EY_1_PER,BY_1_PBR,CFY_1_PCR,SY_1_PSR,EY_1_PER_rank,BY_1_PBR_rank,CFY_1_PCR_rank,SY_1_PSR_rank,avg_rank,overall_rank,signal_date,target_weight,top_n
001230,동국제강,KOSPI,780224391900.0,1469491610.0,180723.0,8180.0,CFS,2016-08-16,2457731113000.0,1424470788000.0,134455355000.0,128721153000.0,0.6893163371761538,3.1500311173493833,0.6599186302624487,7.302877494158485,11.0,36.0,81.0,52.0,45.0,9,2016-10-31,0.02,50
036530,S&T홀딩스,KOSPI,237451575000.0,376449100.0,24704.0,15000.0,CFS,2016-08-04,1541613801942.0,378473263610.0,20908945639.0,35517224141.0,0.35222247970349324,6.492329233621634,0.5983068192493565,6.375586493540841,47.0,1.0,93.0,66.0,51.75,10,2016-10-31,0.02,50
122690,서진오토모티브,KOSDAQ,84972117500.0,240356290.0,45238.0,5300.0,CFS,2016-08-16,207660325951.0,335378125819.0,3686360989.0,28328009627.0,0.17353273508807168,2.443864317621601,1.3335202398363204,15.787678861551262,159.0,79.0,16.0,7.0,65.25,11,2016-10-31,0.02,50
038110,에코플라스틱,KOSDAQ,61393756590.0,420674150.0,154963.0,2705.0,CFS,2016-08-16,132570000000.0,283127000000.0,3013000000.0,22356000000.0,0.19630660623173313,2.1593400919466363,1.4565650477652259,18.446631431321574,127.0,120.0,13.0,4.0,66.0,12,2016-10-31,0.02,50
123040,엠에스오토텍,KOSDAQ,65678792970.0,120090945.0,26836.0,4515.0,CFS,2016-08-12,109250239778.0,191921657225.0,5790890347.0,18680419666.0,0.35267946228214614,1.6634020638579954,1.1376834939419564,11.688500871973318,46.0,223.0,25.0,16.0,77.5,13,2016-10-31,0.02,50
024910,경창산업,KOSDAQ,88151200000.0,127033225.0,25303.0,5020.0,CFS,2016-08-16,147470368574.0,165517516262.0,9339408566.0,25796366690.0,0.42379042218370255,1.6729252531332528,1.1705509029939467,7.510618857689969,27.0,218.0,24.0,50.0,79.75,14,2016-10-31,0.02,50
004980,성신양회,KOSPI,182704548020.0,1134808640.0,148090.0,7610.0,CFS,2016-08-16,337387045635.0,197324488368.0,38648738125.0,29081186588.0,0.8461472589236095,1.846626421133575,0.6366822698867154,4.3200783014202715,10.0,175.0,83.0,147.0,103.75,15,2016-10-31,0.02,50
004560,현대비앤지스틸,KOSPI,173406326500.0,962490850.0,83143.0,11500.0,CFS,2016-08-16,337093449116.0,167749375107.0,13693344081.0,38512451699.0,0.3158672317759987,1.9439512728274075,0.8883747779294546,3.8695099191089777,53.0,151.0,41.0,177.0,105.5,16,2016-10-31,0.02,50
053700,삼보모터스,KOSDAQ,89028014850.0,208746890.0,28478.0,7310.0,CFS,2016-08-16,203930616360.0,215909284272.0,3687811207.0,10152935432.0,0.16569216839052095,2.290634208834097,0.4561681151312339,9.700734522083977,176.0,98.0,155.0,30.0,114.75,17,2016-10-31,0.02,50
012860,서연전자,KOSDAQ,84375000000.0,467143185.0,148252.0,3125.0,CFS,2016-08-16,179354185737.0,188104559437.0,2875935069.0,15789448554.0,0.13634062549333334,2.1256792383644445,0.7485368203377778,8.917549484420741,259.0,127.0,59.0,37.0,120.5,18,2016-10-31,0.02,50
092230,KPX홀딩스,KOSPI,269109950200.0,60648700.0,952.0,63700.0,CFS,2016-08-16,917374787743.0,241018038164.0,11787592884.0,40144749633.0,0.17520857738986717,3.408921844254423,0.5967040550253129,3.582447070201271,157.0,29.0,94.0,203.0,120.75,19,2016-10-31,0.02,50
012800,대창,KOSPI,84760664070.0,589512791.0,628500.0,930.0,CFS,2016-08-12,181411287708.0,225272409636.0,3518998341.0,9392209431.0,0.16606752104225225,2.140276857177294,0.4432343485767596,10.630988424062261,175.0,123.0,163.0,24.0,121.25,20,2016-10-31,0.02,50
084010,대한제강,KOSPI,229461093540.0,457136120.0,49426.0,9310.0,CFS,2016-08-16,426744003752.0,261189661209.0,19884011274.0,27310476602.0,0.34662104964707297,1.8597662774478556,0.47608030068486007,4.553097122993864,48.0,169.0,143.0,133.0,123.25,21,2016-10-31,0.02,50
034020,두산중공업,KOSPI,2781346307200.0,8915980200.0,337885.0,26200.0,CFS,2016-10-28,6936263903348.0,3598417352126.0,86854926372.0,494766789515.0,0.12491062496915378,2.4938512278720095,0.7115500694526387,5.175072723322327,284.0,69.0,68.0,99.0,130.0,22,2016-10-31,0.02,50
013520,화승알앤에이,KOSPI,210469544600.0,347421550.0,10625.0,32600.0,CFS,2016-08-16,288397877413.0,417203758710.0,18572934941.0,33256184291.0,0.35298094983382217,1.3702594261849321,0.6320379388705153,7.929009577188965,45.0,350.0,84.0,47.0,131.5,23,2016-10-31,0.02,50
013870,지엠비코리아,KOSPI,91260859800.0,169929575.0,35515.0,4785.0,CFS,2016-08-16,219776497640.0,126692103392.0,3158299953.0,11830381946.0,0.13842955062757364,2.4082229569351483,0.5185303742229261,5.552965583258728,249.0,83.0,128.0,86.0,136.5,24,2016-10-31,0.02,50
013570,디와이,KOSPI,165024098910.0,396842420.0,63540.0,6270.0,CFS,2016-08-12,400017315725.0,182043511425.0,5497993745.0,30042342301.0,0.13326523292815476,2.4239933341078834,0.7281928518181903,4.412531566660018,268.0,81.0,61.0,144.0,138.5,25,2016-10-31,0.02,50
003030,세아제강,KOSPI,418200000000.0,379477500.0,5416.0,69700.0,CFS,2016-08-16,1242433434847.0,435771322330.0,12238366985.0,87837494946.0,0.1170575512673362,2.9709073047513153,0.8401482060832137,4.168066210712578,320.0,44.0,49.0,153.0,141.5,26,2016-10-31,0.02,50
027710,팜스토리,KOSDAQ,117060346075.0,739587695.0,549732.0,1325.0,CFS,2016-08-12,155575409615.0,222661910111.0,5474421118.0,45090720061.0,0.18706321317357338,1.3290188764291162,1.5407683839277424,7.608448721596691,138.0,369.0,10.0,49.0,141.5,27,2016-10-31,0.02,50
014790,한라,KOSPI,167876733200.0,113182165.0,24578.0,4600.0,CFS,2016-08-16,345601788165.0,448470628812.0,4145663586.0,58116629860.0,0.09877875288557258,2.058664006484253,1.3847453128781755,10.685712552619531,395.0,136.0,15.0,22.0,142.0,28,2016-10-31,0.02,50
084690,대상홀딩스,KOSPI,378421022100.0,895104300.0,87187.0,10450.0,CFS,2016-08-16,1033987700576.0,835311543593.0,9754645512.0,54022874419.0,0.10310891776432311,2.7323738381076583,0.571034601822138,8.829441228793721,377.0,53.0,104.0,39.0,143.25,29,2016-10-31,0.02,50
005160,동국산업,KOSDAQ,247500000000.0,1627609270.0,323034.0,4950.0,CFS,2016-08-12,465288782848.0,203101885687.0,17774159074.0,35352136021.0,0.287259136549495,1.8799546781737373,0.5713476528646465,3.2824547181737374,60.0,167.0,103.0,248.0,144.5,30,2016-10-31,0.02,50
015750,성우하이텍,KOSDAQ,460800000000.0,1317631480.0,170942.0,7680.0,CFS,2016-08-16,1135462595140.0,923028248862.0,11819257017.0,60207680313.0,0.10259771716145834,2.4641115345920137,0.522636113828125,8.01239799359375,378.0,74.0,126.0,46.0,156.0,31,2016-10-31,0.02,50
005430,한국공항,KOSPI,141852704000.0,212323750.0,4762.0,44800.0,CFS,2016-08-16,275163341737.0,116451997443.0,5943033574.0,24972402375.0,0.16758322982690552,1.9397821400500057,0.7041783954996021,3.2837441700935077,170.0,152.0,70.0,247.0,159.75,32,2016-10-31,0.02,50
049070,인탑스,KOSDAQ,173720000000.0,3030339600.0,149731.0,20200.0,CFS,2016-08-12,401451144702.0,126999031160.0,9363399105.0,20596116938.0,0.21559749263182132,2.310909191238775,0.47423709274694914,2.9242236048814183,110.0,94.0,144.0,298.0,161.5,33,2016-10-31,0.02,50
005960,동부건설,KOSPI,89907027000.0,0.0,0.0,10500.0,CFS,2016-08-16,96982273195.0,151613505964.0,7657166222.0,63062722225.0,0.34067042265784186,1.0786951413152612,2.805686021627653,6.745346210324583,51.0,540.0,2.0,60.0,163.25,34,2016-10-31,0.02,50
001120,LG상사,KOSPI,1079466000000.0,7684041600.0,278686.0,27850.0,CFS,2016-08-16,1631007497092.0,2845617336811.0,42029691335.0,123275351787.0,0.15574252949143372,1.5109392024315726,0.4568012398241353,10.544537157487127,192.0,287.0,153.0,25.0,164.25,35,2016-10-31,0.02,50
000320,노루홀딩스,KOSPI,220416803700.0,222733550.0,13277.0,16700.0,CFS,2016-08-16,527845127646.0,182051394072.0,8020243877.0,30549677008.0,0.1455468683397844,2.394759014673072,0.5543983307112986,3.3037661560464775,222.0,86.0,110.0,244.0,165.5,36,2016-10-31,0.02,50
010660,화천기계,KOSPI,50820000000.0,24949700.0,1083.0,23100.0,OFS,2016-08-16,126313589683.0,54154086547.0,1339229595.0,8619827309.0,0.10540964935064935,2.4855094388626524,0.6784594497441953,4.2624231835497834,370.0,70.0,77.0,149.0,166.5,37,2016-10-31,0.02,50
140910,광희리츠,KOSPI,22607019050.0,108048470.0,17384.0,6230.0,OFS,2016-08-16,26712923081.0,20107136498.0,2866602851.0,27177873473.0,0.5072058097814537,1.1816207622030557,4.80874960345557,3.5576802856721614,19.0,450.0,1.0,207.0,169.25,38,2016-10-31,0.02,50
