Date,Top20_Gross,Top20_Minimum,Top20_Base,Top20_Conservative,KOSPI
2018-04-18,1.1225645953386227,1.1170745419539332,1.1084183014563662,1.0953004334637182,1.2349329495715047
2018-04-19,1.162435955558034,1.156750905914747,1.1477872122118522,1.1342034224876465,1.2379804699754504
2018-04-20,1.1640359208971798,1.1583430464078555,1.1493670151657038,1.1357645288478242,1.2331153924678442
2018-04-23,1.1847268677821052,1.178932801429569,1.1697972196251585,1.1559529466777998,1.2320099193801384
2018-04-24,1.1908960240852586,1.185071786642717,1.1758886336777257,1.1619722702882251,1.2270452497024682
2018-04-25,1.1972461892315107,1.191390895450831,1.1821587755427048,1.1681682065097465,1.2194115098670941
2018-04-26,1.1951811670079944,1.1893359724966972,1.1801197762414937,1.166153338282188,1.2327717994811247
2018-04-27,1.1926853907817114,1.1868524022002782,1.1776554511977155,1.163718177941458,1.2411176233324537
2018-04-30,1.2595965133959588,1.2534362869551567,1.2437233756490924,1.2290042041596836,1.25256076367276
2018-05-02,1.3117184827459296,1.3015533306260683,1.286957307921811,1.2649297411726284,1.2476956861651538
2018-05-03,1.3048713122659958,1.2947592222402002,1.2802393907744591,1.2583268079237073,1.2385531249533162
2018-05-04,1.3107439296937071,1.3005863298650997,1.2860011514072747,1.2639899502370566,1.225670877755591
2018-05-08,1.2948685369351072,1.284833963338482,1.270425436804215,1.248680829631306,1.219909470717412
2018-05-09,1.2857401387316127,1.2757763055854499,1.2614693544343036,1.2398780396052822,1.2170063589600586
2018-05-10,1.3064338862792844,1.2963096870983974,1.2817724682388862,1.2598336452277412,1.2270552089194746
2018-05-11,1.3191900209788376,1.3089669682318936,1.294287806696311,1.2721347710989654,1.233802578441283
2018-05-14,1.3473628202587564,1.3369214426242013,1.321928790943179,1.2993026521420494,1.2330058410807743
2018-05-15,1.355834197719785,1.3453271712118713,1.330240255083573,1.3074718572269106,1.2242566689406877
2018-05-16,1.3305616087295038,1.3202504319522512,1.3054447341551343,1.2831007365400104,1.2248940588290949
2018-05-17,1.3401206412191862,1.3297353867944395,1.314823321772125,1.29231880021151,1.2192322439609797
2018-05-18,1.354063639258034,1.3435703336790679,1.3285031192717158,1.3057644542389881,1.2253073663348588
2018-05-21,1.3643448218404401,1.353771842317486,1.3385902250284385,1.3156789090507304,1.227757333718423
2018-05-23,1.3542333176054873,1.343738697105495,1.328669594618464,1.3059280801929942,1.2309144055094388
2018-05-24,1.353816304626839,1.3433249157656624,1.3282604535509033,1.305525941985684,1.227976436492563
2018-05-25,1.3296977940849257,1.3193933114325034,1.3045972256507161,1.2822677339947541,1.2253820604624066
2018-05-28,1.4000147706183401,1.3891653671063942,1.373586835853664,1.3500765177364114,1.2344250295041803
2018-05-29,1.394900862700443,1.3840910893778982,1.3685694626493163,1.3451450219131422,1.2236142994437778
2018-05-30,1.3921134543503575,1.3813252820270145,1.3658346719198338,1.3424570398734024,1.1996026272414464
2018-05-31,1.3928325350740185,1.3820387902402334,1.366540178630667,1.3431504711283762,1.2065641199288912
2018-06-01,1.3965577143466021,1.385735101265188,1.37019503807744,1.3467427739853328,1.2145065954914624
2018-06-04,1.3895089261739901,1.3787409376213735,1.3632793091538482,1.3399454147073742,1.2188886509742605
2018-06-05,1.4047819322350381,1.393895585641439,1.3782640082510607,1.354673635631186,1.2218764160761681
2018-06-07,1.4088456935301252,1.3979278548501626,1.382251058342338,1.3585924433561645,1.230252117578516
2018-06-08,1.3936279584929063,1.3828280495315592,1.367320586923525,1.3439175219495783,1.220790861422475
2018-06-11,1.391585658997606,1.3808015768202198,1.3653168397056465,1.3419480708775926,1.2300379944128792
2018-06-12,1.3840892147266817,1.3733632261855249,1.357961905041847,1.3347190233067412,1.2293806860904595
2018-06-14,1.3548907264694316,1.3443910113845912,1.3293145936429303,1.3065620394114177,1.2067981615285406
2018-06-15,1.3499654808068897,1.3395039338747785,1.3244823213359567,1.301812476297777,1.1971178025983598
2018-06-18,1.3173710148418332,1.3071620584687167,1.2925031377509806,1.270380648554884,1.1832744909595205
2018-06-19,1.2924102663709438,1.282394743122823,1.2680135707605371,1.2463102450970769,1.1652831654375333
2018-06-20,1.3067974928210584,1.2966704758741205,1.2821292110173859,1.2601842819953284,1.1771346336751003
2018-06-21,1.2929286712646468,1.2829091306418583,1.2685221897784054,1.2468101585896747,1.1641478146988082
2018-06-22,1.288416383087201,1.2784318104063421,1.264095079600575,1.2424588228484537,1.1738032755864733
2018-06-25,1.2970223425164438,1.2869710780203163,1.2725385852192175,1.2507578093890608,1.1741319297476833
2018-06-26,1.2837343754577453,1.2737860859583812,1.2595014537473659,1.237943821514861,1.1706661222294703
2018-06-27,1.268056096796338,1.258229305994802,1.2441191323389689,1.222824783985032,1.1662392502701437
