,성장형,중립형,안정형
2008-02-29,21134886.20289547,20077452.659226444,18682490.000045806
2008-03-31,21264739.775145408,20198383.191788644,18787465.368109073
2008-04-30,21777927.99502024,20616825.684445724,19098890.583163854
2008-05-31,21859506.685945414,20694323.549174584,19173492.86428462
2008-06-30,21177940.853417493,20172645.424621493,18830402.133935668
2008-07-31,20539182.093322754,19676160.102727436,18506366.86175233
2008-08-31,21189055.24729045,20211346.00424653,18901976.189150218
2008-09-30,22413604.287538573,21210982.667380944,19619859.589150343
2008-10-31,20691778.07360666,19870270.54382682,18708872.547797915
2008-11-30,23834608.950688824,22407376.661571313,20499453.916290488
2008-12-31,22811498.102466583,21617717.393514764,19972262.689878684
2009-01-31,24122643.539102215,22674998.468402877,20723723.898537226
2009-02-28,24937173.968862854,23330341.32999984,21189760.90777345
2009-03-31,24140461.014358036,22701848.51898647,20764623.93686014
2009-04-30,23737661.578475714,22377286.718516752,20550300.449651934
2009-05-31,24883675.717821226,23282570.846673056,21191203.156864043
2009-06-30,25164981.267543502,23512360.836450826,21358821.65967987
2009-07-31,25849719.46569754,24059595.199387476,21747055.33598679
2009-08-31,25785681.92969927,24015032.900376834,21728242.25028969
2009-09-30,25726488.727954164,23972908.99131976,21709642.58570797
2009-10-31,25742297.182431698,23994777.65754298,21735207.860402733
2009-11-30,26897568.47606634,24919454.83984685,22388135.757075705
2009-12-31,26911479.74015359,24933264.369022425,22409378.15804983
2010-01-31,26230956.271057725,24418183.035956137,22075561.433493733
2010-02-28,26642985.878197454,24746730.178028975,22309303.985050265
2010-03-31,27112254.023951147,25118906.5867833,22574147.19560514
2010-04-30,27205817.22575568,25202705.265144307,22643924.95931711
2010-05-31,27990453.102789097,25831505.32548508,23080080.66984036
2010-06-30,28593653.287349574,26314710.565463245,23417862.561909273
2010-07-31,28249705.68084403,26050536.712172184,23250713.284959726
2010-08-31,29098623.911758527,26731392.602574967,23722055.16758416
2010-09-30,29661733.946543105,27172010.041912466,24032396.058112115
2010-10-31,29981016.16726318,27426955.719050966,24216273.686921276
2010-11-30,30272897.359974395,27659646.001852825,24385056.736134276
2010-12-31,30595985.906619865,27912959.45964346,24569052.623158608
2011-01-31,29650939.66700238,27197343.997887105,24109465.563953105
2011-02-28,30315462.25527013,27716589.74354572,24465838.69079938
2011-03-31,30546778.34655566,27905090.556412823,24606890.11332653
2011-04-30,30786652.99337673,28102596.041999392,24753528.65615918
2011-05-31,30828494.493378617,28154247.303072467,24805067.19654053
2011-06-30,30372451.030027233,27816637.52886161,24600113.581657037
