,성장형,중립형,안정형
2012-04-30,48207059.36034122,45224894.188049115,41556740.91814077
2012-05-31,54881051.39164751,51486022.48404343,47310034.34476492
2012-06-30,52184368.24079832,48956160.43118025,44985367.28302854
2012-07-31,53658945.221727505,50339517.74066007,46256521.64036611
2012-08-31,53088498.658247866,49804359.90660793,45764770.00978087
2012-09-30,50739780.28369469,47600936.976934716,43740064.86750288
2012-10-31,49538087.022362575,46473582.36722902,42704149.04548662
2012-11-30,49495816.54990697,46456699.6058756,42718821.965170935
2012-12-31,48960669.58100973,46044601.57390688,42458125.61897373
2013-01-31,50687835.34823756,47414566.91359341,43429122.25700928
2013-02-28,50231416.14280108,47075177.517702274,43216412.67798494
2013-03-31,51578007.276101336,48154057.9944342,43986510.91386515
2013-04-30,51223924.1392624,47893250.77011669,43833127.573276296
2013-05-31,48966909.97415693,45782991.79996785,41901764.61161031
2013-06-30,47872996.58614115,44760206.664049864,40965685.50606091
2013-07-31,46021787.03227536,43029366.1460472,39381576.01224587
2013-08-31,44869397.10157598,41951906.719356395,38395457.59794447
2013-09-30,43692719.64054695,40851738.98204296,37388555.95718651
2013-10-31,43801568.71839377,40953510.49348049,37481699.84640753
2013-11-30,43320587.884392254,40583160.38341307,37246658.69380653
2013-12-31,42969372.47689758,40315818.59638602,37085008.138669126
2014-01-31,43569206.758680455,40813352.5066342,37447583.57733199
2014-02-28,44503993.87762411,41559342.0606677,37979126.66803559
2014-03-31,44655106.69563801,41687459.66554576,38090125.872711696
2014-04-30,43801537.02885771,41033871.29353911,37661587.80238393
2014-05-31,44545547.500723355,41730870.34915367,38301305.43817375
2014-06-30,44054719.53692036,41271056.08554249,37879280.05485323
2014-07-31,45055316.68787604,42208429.006541744,38739616.929121025
2014-08-31,46545482.04436505,43604436.032596,40020896.0170331
2014-09-30,47391330.526094906,44396838.31086015,40748176.35975702
2014-10-31,49582818.50230873,46449853.83627541,42632469.06801676
2014-11-30,52288651.88640433,48593395.59075093,44126699.104331434
2014-12-31,52548460.99552131,48817150.86653478,44296611.331266135
2015-01-31,54627049.33337559,50483267.53110058,45464385.527909935
2015-02-28,54608824.200336084,50468713.14218114,45471464.86332095
2015-03-31,55318049.358458266,51045227.844697684,45883991.39804708
2015-04-30,55228118.1409149,50984303.921797484,45854315.82598447
2015-05-31,55682995.058683716,51404227.39200088,46231987.02955694
